I0,A11,B11,D11,L,f,b,h,S,lambda,KXL,KYL,KZL,KXR,KYR,KZR,Pcr
1.1978252,82178150.0,24077.193,618.1988,2.1599255,0.42203727,0.05742995,0.009458539,2.3631008,861.5814,8.646541,5.049711,935.9885,8.646541,5.049711,935.9885,40.35284
0.6616048,11112631.0,132.95183,8.3495865,1.3554136,0.2395541,0.028877962,0.0031258902,1.461076,1685.5778,2.2120323,5.9023743,59.80897,4.291469,8.7908745,540.2693,61.00734
0.21709433,5923116.5,-55.476696,3.3752959,0.7945555,0.209713,0.011399832,0.0026210083,0.9239985,1224.0255,10.0,10.0,0.0,10.0,10.0,0.0,60.20576
11.813445,268028940.0,186701.12,15155.862,1.8788223,0.16221663,0.1316668,0.025964914,1.9155296,254.73546,2.5293713,2.7671313,281.71622,2.5293713,2.7671313,281.71622,6.786174
2.3341951,56975210.0,3961.0117,527.1847,2.2359262,0.44899926,0.035100825,0.010498315,2.4572182,807.8027,1.0191171,1.6024989,315.47577,7.051413,7.689227,346.75525,41.54403
1.7402214,41905972.0,5541.6543,119.74835,2.1418803,0.20475559,0.044515226,0.005844425,2.1929884,1297.2972,10.0,10.0,0.0,10.0,10.0,0.0,10.372631
1.3800168,21583016.0,228.83864,18.923681,1.112918,0.12352195,0.057066735,0.003264874,1.1484656,1226.5105,0.5749165,5.62894,82.54799,4.235597,4.222692,237.18462,44.47653
5.666254,115975930.0,-7.275958e-12,597.89484,2.557819,0.2521683,0.13029046,0.0077124154,2.6226473,1155.0782,7.3154445,5.559021,533.7746,7.3154445,5.559021,533.7746,17.160213
3.0980244,84669980.0,-5070.4766,179.6672,2.4566042,0.24789354,0.09246699,0.0051424764,2.5217679,1731.153,10.0,10.0,0.0,10.0,10.0,0.0,10.05179
0.067091264,3755093.2,-1.1368684e-13,1.0362943,0.69276816,0.057902604,0.01375935,0.0017633702,0.70546556,1342.903,1.3711138,3.1470768,73.87398,1.3711138,3.1470768,73.87398,48.109768
1.0512185,27175070.0,2353.311,40.466095,1.4223433,0.12920646,0.05259242,0.004221691,1.45305,1190.749,1.351454,1.3467802,290.09528,1.351454,1.3467802,290.09528,26.861732
18.95609,781242300.0,140566.12,32319.883,2.9244058,0.3311299,0.21213059,0.022409178,3.021518,469.76773,0.5326285,1.2280653,380.70035,1.5165819,0.48519892,417.0698,8.951169
3.294161,97030850.0,2009.1863,285.9853,2.6321466,0.27231035,0.09308023,0.0061958595,2.7054513,1575.8787,7.812851,1.2384418,482.92682,3.6006896,9.958391,670.8553,18.791494
1.815929,19872342.0,-748.1341,65.27329,1.8961279,0.3614608,0.039370093,0.006583228,2.0664678,1140.2115,10.0,10.0,1000.0,10.0,10.0,1000.0,47.76038
0.45042536,9053586.0,310.66824,4.616034,1.1038254,0.097674236,0.02516488,0.0024753525,1.1264583,1577.5784,7.461898,9.1337595,647.4705,7.461898,9.1337595,647.4705,34.897755
2.703647,82305700.0,-4496.3145,301.33826,2.3822358,0.28852576,0.05793501,0.0068972306,2.472389,1292.1252,7.8471375,7.7007017,288.76447,4.8763833,5.5256777,425.1402,24.897089
0.73954964,42612596.0,1164.2854,63.505478,1.7485739,0.47159225,0.06322508,0.004233221,2.0446358,1674.8633,10.0,10.0,0.0,10.0,10.0,0.0,27.532696
1.2012327,29919096.0,5208.4443,114.88044,2.8905663,0.51053333,0.03121158,0.0067683537,3.1156194,1589.9944,0.42021537,8.254249,331.3868,0.42021537,8.254249,331.3868,28.625849
4.355079,38522584.0,-2128.4607,168.92892,1.202231,0.101703584,0.07958209,0.007366004,1.2247953,584.88336,2.920997,9.244142,565.3924,9.7381525,7.098394,937.0409,22.549925
