,I0,A11,B11,D11,L,f,b,h,S,lambda,KXL,KYL,KZL,KXR,KYR,KZR,Pcr
I0,0.9999999999999998,0.8572773325010203,0.2734721653468062,0.7283085903064047,0.41487868604806316,0.3529058456759972,0.7793512380892456,0.8460296734701326,0.42452389260967727,-0.507651500614522,-0.024711841979523645,-0.027497006591426107,0.0037314604768255294,-0.011264995138482718,0.006517775876572518,0.019224305255148334,-0.2696392761769195
A11,0.8572773325010203,0.9999999999999992,0.2954495369148488,0.7713251668785436,0.40976586167407986,0.321229686980266,0.7656286267519122,0.8336311262247276,0.41431572469431116,-0.5075699504646749,-0.011097223537992426,-0.018524218192874323,0.015141520483461781,-0.008932060587485613,0.00018707496887634592,0.020764881636472422,-0.27163652037596486
B11,0.2734721653468062,0.2954495369148488,1.0,0.2489018495000719,0.09008536531199132,0.08908477936429766,0.1999408572291474,0.27706859309280035,0.0949840273453908,-0.14484451255954717,-0.005275526897062444,-0.02750222366182631,-0.00895995258674951,0.005399023755843216,-0.016213176815061656,-0.005511283636989756,-0.06083954222274888
D11,0.7283085903064047,0.7713251668785436,0.2489018495000719,0.9999999999999999,0.18514178975414095,0.17361515554953857,0.39806612091740873,0.6643764862919697,0.19245482466576855,-0.30405313155583136,-0.01878397809509585,-0.023901888812912345,0.024060028915180796,0.0042793240857901555,0.003840330038093255,0.02845946011244925,-0.1197338742388592
L,0.41487868604806316,0.40976586167407986,0.09008536531199132,0.18514178975414095,0.9999999999999989,0.6698439204731066,0.5575823849925852,0.5195671354272413,0.9926545288035411,0.030359411223585653,-0.013795229406722783,-0.005972824650658197,0.04596501804464756,-0.015308803954212073,0.0016514085956765819,0.041874507030330854,-0.6198827319507466
f,0.3529058456759972,0.321229686980266,0.08908477936429766,0.17361515554953857,0.6698439204731066,0.999999999999999,0.4332789956757579,0.4047103280781092,0.7538033286346965,0.01752755584461458,0.020798034989693705,0.018471494251078413,0.03496512059346615,0.03296207090059766,0.04793267879291586,0.02547284154161507,-0.13082554530806556
b,0.7793512380892456,0.7656286267519122,0.1999408572291474,0.39806612091740873,0.5575823849925852,0.4332789956757579,0.9999999999999993,0.7010049563405492,0.5628630746877701,-0.4692060618876335,-0.009236712297838288,-0.01673060410903821,-0.016959960377792464,-0.018693032869348376,-0.0031643650510429955,-0.003362474540662771,-0.36487451041321517
h,0.8460296734701326,0.8336311262247276,0.27706859309280035,0.6643764862919697,0.5195671354272413,0.4047103280781092,0.7010049563405492,0.9999999999999993,0.525540242481378,-0.6687721575216767,-0.02011857384678884,-0.022461201247428134,0.008996572990772217,-0.0019666402999802446,0.0008519680404895426,0.015255092818999224,-0.3848848558009433
S,0.42452389260967727,0.41431572469431116,0.0949840273453908,0.19245482466576855,0.9926545288035411,0.7538033286346965,0.5628630746877701,0.525540242481378,0.9999999999999989,0.02979058300436173,-0.00844557297399834,-0.001593554301605224,0.046241468499454194,-0.00740011002802176,0.009804806782222359,0.04093511090931679,-0.5713916982734734
lambda,-0.507651500614522,-0.5075699504646749,-0.14484451255954717,-0.30405313155583136,0.030359411223585653,0.01752755584461458,-0.4692060618876335,-0.6687721575216767,0.02979058300436173,1.0,0.01273147723794335,0.014549215207870921,0.04123626508542554,-0.0021715678047220803,-0.0014621480988031281,0.016974252962794378,0.09680217179471662
KXL,-0.024711841979523645,-0.011097223537992426,-0.005275526897062444,-0.01878397809509585,-0.013795229406722783,0.020798034989693705,-0.009236712297838288,-0.02011857384678884,-0.00844557297399834,0.01273147723794335,0.999999999999977,0.6585060958814445,0.1596701598569589,0.7784782713277824,0.6541033062559545,0.1512675358543407,-0.06770236571515044
KYL,-0.027497006591426107,-0.018524218192874323,-0.02750222366182631,-0.023901888812912345,-0.005972824650658197,0.018471494251078413,-0.01673060410903821,-0.022461201247428134,-0.001593554301605224,0.014549215207870921,0.6585060958814445,1.0,0.16464624178607223,0.6569679139707828,0.7730081674083379,0.16787858528284005,-0.0838570864692482
KZL,0.0037314604768255294,0.015141520483461781,-0.00895995258674951,0.024060028915180796,0.04596501804464756,0.03496512059346615,-0.016959960377792464,0.008996572990772217,0.046241468499454194,0.04123626508542554,0.1596701598569589,0.16464624178607223,1.0,0.17639886299351532,0.15378457629014822,0.7993550015391181,0.15719702211855055
KXR,-0.011264995138482718,-0.008932060587485613,0.005399023755843216,0.0042793240857901555,-0.015308803954212073,0.03296207090059766,-0.018693032869348376,-0.0019666402999802446,-0.00740011002802176,-0.0021715678047220803,0.7784782713277824,0.6569679139707828,0.17639886299351532,0.9999999999999817,0.6562348681362593,0.1597141130897212,-0.07155105148941483
KYR,0.006517775876572518,0.00018707496887634592,-0.016213176815061656,0.003840330038093255,0.0016514085956765819,0.04793267879291586,-0.0031643650510429955,0.0008519680404895426,0.009804806782222359,-0.0014621480988031281,0.6541033062559545,0.7730081674083379,0.15378457629014822,0.6562348681362593,0.9999999999999998,0.1673144214539835,-0.08615374122368742
KZR,0.019224305255148334,0.020764881636472422,-0.005511283636989756,0.02845946011244925,0.041874507030330854,0.02547284154161507,-0.003362474540662771,0.015255092818999224,0.04093511090931679,0.016974252962794378,0.1512675358543407,0.16787858528284005,0.7993550015391181,0.1597141130897212,0.1673144214539835,1.0,0.15590327216845454
Pcr,-0.2696392761769195,-0.27163652037596486,-0.06083954222274888,-0.1197338742388592,-0.6198827319507466,-0.13082554530806556,-0.36487451041321517,-0.3848848558009433,-0.5713916982734734,0.09680217179471662,-0.06770236571515044,-0.0838570864692482,0.15719702211855055,-0.07155105148941483,-0.08615374122368742,0.15590327216845454,0.9999999999999998
