Variable,Correlation_with_Pcr,P_value
I0,-0.2696392761769195,1.002984177287418e-43
A11,-0.27163652037596486,2.25272202578778e-44
B11,-0.06083954222274888,0.0021150179912492466
D11,-0.1197338742388592,1.318471365684994e-09
L,-0.6198827319507466,1.2685652177550577e-270
f,-0.13082554530806556,3.3196249856038584e-11
b,-0.36487451041321517,3.8613487137742075e-81
h,-0.3848848558009433,8.016450600785197e-91
S,-0.5713916982734734,5.663505338436797e-221
lambda,0.09680217179471662,9.71238383311959e-07
KXL,-0.06770236571515044,0.0006237958823540743
KYL,-0.0838570864692482,2.2355113478457512e-05
KZL,0.15719702211855055,1.4183565251545387e-15
KXR,-0.07155105148941483,0.0002991734941268457
KYR,-0.08615374122368742,1.3214696318509653e-05
KZR,0.15590327216845454,2.426734043963567e-15
Pcr,0.9999999999999998,0.0
