,I0,A11,B11,D11,L,f,b,h,S,lambda,KXL,KYL,KZL,KXR,KYR,KZR,Pcr
I0,0.0,0.0,5.646077596329113e-45,0.0,1.1684966741148644e-106,1.1413092171740564e-75,0.0,0.0,4.170105194812286e-112,4.013169432634772e-167,0.21222686544904557,0.16510281738406046,0.8506118672100154,0.5696320390213379,0.7421755920433876,0.33185037737132345,1.002984177287418e-43
A11,0.0,0.0,1.5498512701032388e-52,0.0,7.650269666569961e-104,2.702687840362922e-62,0.0,0.0,2.3994091418005823e-106,4.626633075933536e-167,0.5753943113907473,0.3497631792414065,0.44470146089042745,0.6521086241197714,0.992466333443284,0.2945584445646539,2.25272202578778e-44
B11,5.646077596329113e-45,1.5498512701032388e-52,0.0,2.5994394781235167e-37,5.210631978406587e-06,6.627458825693825e-06,2.0945058324357227e-24,3.637505456187589e-46,1.5477229850059469e-06,1.989632023516912e-13,0.7900295167479294,0.16502261645727856,0.651094177263544,0.7852332510308746,0.4131415756325811,0.7808804516041863,0.0021150179912492466
D11,0.0,0.0,2.5994394781235167e-37,0.0,4.251328992933523e-21,1.0470139512727406e-18,1.3976643662695336e-97,0.0,1.0658869637947142e-22,1.1023493199849252e-55,0.3430464961363316,0.22759902303338325,0.2245370046637867,0.8289953011055486,0.8463068097477716,0.15079795440203625,1.318471365684994e-09
L,1.1684966741148644e-106,7.650269666569961e-104,5.210631978406587e-06,4.251328992933523e-21,0.0,0.0,2.6620184435659893e-208,2.4769065128274304e-176,0.0,0.12535552983940898,0.4862306363360499,0.763057902368164,0.02027559785887695,0.4396863619247121,0.9335722778635032,0.034476886531574547,1.2685652177550577e-270
f,1.1413092171740564e-75,2.702687840362922e-62,6.627458825693825e-06,1.0470139512727406e-18,0.0,0.0,3.304870093205465e-117,4.171145720996673e-101,0.0,0.3763010987155936,0.2937880533798892,0.3511365924816768,0.07750897648397963,0.09608464460527584,0.015491241795134716,0.19848026914355565,3.3196249856038584e-11
b,0.0,0.0,2.0945058324357227e-24,1.3976643662695336e-97,2.6620184435659893e-208,3.304870093205465e-117,0.0,0.0,4.4666317477993785e-213,8.828223959500604e-140,0.6410635047882063,0.39839064434767424,0.3919548194486323,0.34538866080026676,0.8731058562771769,0.8652351668579129,3.8613487137742075e-81
h,0.0,0.0,3.637505456187589e-46,0.0,2.4769065128274304e-176,4.171145720996673e-101,0.0,0.0,4.340238237413524e-181,0.0,0.30984713823646093,0.2568692324144311,0.6497632537553373,0.9209303517863686,0.9657005845677001,0.4412930564040409,8.016450600785197e-91
S,4.170105194812286e-112,2.3994091418005823e-106,1.5477229850059469e-06,1.0658869637947142e-22,0.0,0.0,4.4666317477993785e-213,4.340238237413524e-181,0.0,0.13259504345425813,0.6699045396969364,0.9358943581942799,0.019533814377612202,0.7087695505148037,0.620679458941164,0.038736547325730335,5.663505338436797e-221
lambda,4.013169432634772e-167,4.626633075933536e-167,1.989632023516912e-13,1.1023493199849252e-55,0.12535552983940898,0.3763010987155936,8.828223959500604e-140,0.0,0.13259504345425813,0.0,0.5204714118872948,0.46271839545688204,0.037324756867139285,0.912722516943814,0.9411705634903127,0.3915558615253359,9.71238383311959e-07
KXL,0.21222686544904557,0.5753943113907473,0.7900295167479294,0.3430464961363316,0.4862306363360499,0.2937880533798892,0.6410635047882063,0.30984713823646093,0.6699045396969364,0.5204714118872948,0.0,6.7522914e-317,5.01705265526702e-16,0.0,2.814761507231e-311,1.601885665890171e-14,0.0006237958823540743
KYL,0.16510281738406046,0.3497631792414065,0.16502261645727856,0.22759902303338325,0.763057902368164,0.3511365924816768,0.39839064434767424,0.2568692324144311,0.9358943581942799,0.46271839545688204,6.7522914e-317,0.0,5.894642522635366e-17,6.362907364e-315,0.0,1.41460044783376e-17,2.2355113478457512e-05
KZL,0.8506118672100154,0.44470146089042745,0.651094177263544,0.2245370046637867,0.02027559785887695,0.07750897648397963,0.3919548194486323,0.6497632537553373,0.019533814377612202,0.037324756867139285,5.01705265526702e-16,5.894642522635366e-17,0.0,2.8647418026307543e-19,5.790766901636498e-15,0.0,1.4183565251545387e-15
KXR,0.5696320390213379,0.6521086241197714,0.7852332510308746,0.8289953011055486,0.4396863619247121,0.09608464460527584,0.34538866080026676,0.9209303517863686,0.7087695505148037,0.912722516943814,0.0,6.362907364e-315,2.8647418026307543e-19,0.0,5.500572228e-314,4.924500785483564e-16,0.0002991734941268457
KYR,0.7421755920433876,0.992466333443284,0.4131415756325811,0.8463068097477716,0.9335722778635032,0.015491241795134716,0.8731058562771769,0.9657005845677001,0.620679458941164,0.9411705634903127,2.814761507231e-311,0.0,5.790766901636498e-15,5.500572228e-314,0.0,1.8184890870407902e-17,1.3214696318509653e-05
KZR,0.33185037737132345,0.2945584445646539,0.7808804516041863,0.15079795440203625,0.034476886531574547,0.19848026914355565,0.8652351668579129,0.4412930564040409,0.038736547325730335,0.3915558615253359,1.601885665890171e-14,1.41460044783376e-17,0.0,4.924500785483564e-16,1.8184890870407902e-17,0.0,2.426734043963567e-15
Pcr,1.002984177287418e-43,2.25272202578778e-44,0.0021150179912492466,1.318471365684994e-09,1.2685652177550577e-270,3.3196249856038584e-11,3.8613487137742075e-81,8.016450600785197e-91,5.663505338436797e-221,9.71238383311959e-07,0.0006237958823540743,2.2355113478457512e-05,1.4183565251545387e-15,0.0002991734941268457,1.3214696318509653e-05,2.426734043963567e-15,0.0
