feature,mean_weight,std_weight
I0,0.0014395893,0.028449822
A11,1.9858231e-05,0.00029104794
B11,4.1218264e-05,0.0013819006
D11,2.0146906e-09,5.3954565e-08
L,7.8923847e-07,1.2240448e-05
f,1.0874378e-08,2.0602779e-07
b,2.15876e-06,6.1443505e-05
h,1.7125049e-10,3.2205687e-09
S,6.1791275e-07,1.1761324e-05
lambda,6.639648e-05,0.0005616719
KXL,3.0823045e-07,5.5380187e-06
KYL,9.266994e-06,0.00019373371
KZL,2.3821302e-07,3.986605e-06
KXR,2.7561496e-06,5.7909125e-05
KYR,1.3243383e-07,6.474772e-06
KZR,2.783692e-07,2.7432545e-06
load,0.00057074544,0.0055775745
disp_0,3.1963043e-07,5.000429e-06
disp_1,3.502565e-05,0.00079516065
disp_2,4.949583e-06,8.2337836e-05
disp_3,2.2747734e-06,5.540773e-05
disp_4,8.9796375e-09,2.1166231e-07
disp_5,3.5089673e-05,0.00092840777
disp_6,9.2035157e-07,2.356361e-05
disp_7,1.6844575e-06,3.5690864e-05
disp_8,0.037271224,0.16585347
disp_9,3.9597282e-05,0.0005344353
disp_10,1.196998e-07,1.7144447e-06
disp_11,5.349926e-10,1.02787014e-08
disp_12,4.0184947e-08,1.1640657e-06
disp_13,9.101834e-10,2.8974753e-08
disp_14,7.402603e-08,1.5399456e-06
disp_15,4.338199e-07,7.2549774e-06
disp_16,1.7894785e-06,4.6391004e-05
disp_17,3.0356643e-06,7.591538e-05
disp_18,0.00013512615,0.0032646875
disp_19,3.8241633e-05,0.00029833382
disp_20,1.0806282e-08,2.185447e-07
disp_21,0.053195387,0.18012327
disp_22,6.872556e-05,0.0012745894
disp_23,0.049885564,0.1856863
disp_24,8.04628e-06,0.0001385986
disp_25,4.0351926e-09,8.829474e-08
disp_26,0.4487798,0.4716597
disp_27,2.386015e-05,0.0005272914
disp_28,0.05294438,0.18736662
disp_29,0.12236101,0.31534633
disp_30,0.0004825346,0.0071160644
disp_31,0.00014086264,0.0028855647
disp_32,1.5716141e-06,2.0960359e-05
disp_33,4.9475137e-05,0.0012333391
disp_34,1.8582774e-08,2.74112e-07
disp_35,0.23176226,0.41649798
disp_36,1.570347e-07,2.4625813e-06
disp_37,2.9934146e-08,3.9306323e-07
disp_38,6.125041e-08,2.6264443e-06
disp_39,1.13448316e-07,2.3790426e-06
disp_40,0.00056947325,0.016132474
disp_41,2.4693288e-06,4.1830714e-05
