timestep,I0,A11,B11,D11,L,f,b,h,S,lambda,KXL,KYL,KZL,KXR,KYR,KZR,load,disp_0,disp_1,disp_2,disp_3,disp_4,disp_5,disp_6,disp_7,disp_8,disp_9,disp_10,disp_11,disp_12,disp_13,disp_14,disp_15,disp_16,disp_17,disp_18,disp_19,disp_20,disp_21,disp_22,disp_23,disp_24,disp_25,disp_26,disp_27,disp_28,disp_29,disp_30,disp_31,disp_32,disp_33,disp_34,disp_35,disp_36,disp_37,disp_38,disp_39,disp_40,disp_41
10,0.00014908546,6.639192e-07,1.9493625e-06,2.1707672e-10,3.7801033e-11,9.182482e-11,1.2837156e-10,3.648299e-12,7.1325057e-09,6.3414527e-06,1.3721777e-09,4.408834e-08,4.2427035e-09,1.5464889e-09,1.3372531e-09,1.4443839e-07,6.7310495e-05,3.9797007e-10,1.5833042e-05,1.4928875e-09,5.0478014e-13,1.21207116e-11,1.2505356e-07,1.1795078e-07,1.978928e-12,0.037242785,1.3933364e-06,4.8341567e-11,1.3331294e-11,9.573566e-09,1.5618498e-09,3.5533894e-09,9.650577e-09,3.765681e-08,1.4344e-10,1.2344793e-08,8.7306137e-07,9.448252e-12,1.8987598e-07,1.3320617e-07,9.0428894e-11,1.0627612e-06,4.3064274e-11,0.8306311,4.2323828e-07,0.13187926,1.1910311e-08,4.0940108e-07,5.2783446e-12,1.0567009e-07,3.178905e-12,1.8990464e-11,1.8708293e-09,5.5402423e-12,2.873593e-11,6.2382994e-12,2.4438089e-08,6.6288266e-07,4.432428e-10
11,6.959582e-05,4.6774935e-07,1.2380303e-06,2.489279e-10,3.3507582e-11,5.494193e-11,8.388602e-11,3.7478844e-12,4.9440563e-09,2.107705e-05,1.9990598e-09,2.5436314e-08,2.3923137e-09,1.5934957e-09,1.5166424e-09,1.6808507e-07,3.851224e-05,6.52656e-10,2.09699e-05,1.2830503e-09,4.086726e-13,1.1491884e-11,7.224995e-08,7.665395e-08,1.2834242e-12,0.054037888,1.9282083e-06,3.9479538e-11,1.2281336e-11,8.276898e-09,2.119587e-09,2.3558484e-09,4.5449586e-09,2.8443264e-08,1.1905754e-10,5.353664e-08,6.5975814e-07,7.954836e-12,2.196566e-07,8.1284654e-08,8.700356e-11,1.0297222e-06,4.15856e-11,0.80223376,5.847461e-07,0.14356968,3.653342e-09,3.6291453e-07,8.947568e-12,2.827813e-07,1.7970911e-12,2.3723358e-11,2.0939062e-09,8.878336e-12,3.251105e-11,1.3156947e-11,4.052713e-08,1.2490468e-06,6.946276e-10
12,3.102941e-05,1.2224132e-07,7.5897213e-07,2.0581377e-10,2.6633118e-11,2.6944027e-11,4.522539e-11,3.5511735e-12,3.5486296e-09,6.785414e-05,2.1784328e-09,1.3474698e-08,1.3634844e-09,1.3787923e-09,1.7547114e-09,1.5656047e-07,2.0503912e-05,7.3622297e-10,1.064348e-05,2.2216435e-09,2.9808613e-13,1.0865107e-11,4.0249382e-08,4.8796867e-08,7.8985467e-13,0.08389755,1.192913e-06,2.8834126e-11,9.654425e-12,6.1807564e-09,2.1470714e-09,1.4926996e-09,2.1385387e-09,1.7414528e-08,8.983447e-11,7.473725e-08,4.9023146e-07,5.7439635e-12,2.5176433e-07,5.463473e-08,7.753802e-11,9.898026e-07,3.6852143e-11,0.7695422,6.336599e-07,0.14642322,1.1612178e-09,2.559184e-07,1.0618454e-11,1.8582291e-07,1.569106e-12,2.8892146e-11,2.1261155e-09,1.2282145e-11,3.151217e-11,1.7941905e-11,4.5161485e-08,1.6559942e-06,8.62959e-10
13,2.4539939e-05,1.4032511e-07,4.7050804e-07,1.3883306e-10,2.179658e-11,3.319173e-11,2.558774e-11,3.2621065e-12,2.5474107e-09,8.7434986e-05,2.0748439e-09,6.769123e-09,9.378487e-10,1.0097676e-09,2.0347044e-09,1.2439945e-07,1.1474237e-05,6.597137e-10,6.1437836e-06,7.4029156e-09,2.2154373e-13,9.199351e-12,2.2845752e-08,3.199195e-08,5.0602285e-13,0.10310472,7.419061e-07,2.3533234e-11,6.9140605e-12,4.3332724e-09,1.7808631e-09,9.756856e-10,1.0736292e-09,1.054972e-08,6.842858e-11,1.4619573e-07,5.368902e-07,4.0825403e-12,1.4821192e-06,4.095945e-08,8.622024e-11,9.798258e-07,3.0193126e-11,0.7493944,6.1687024e-07,0.14736395,6.412124e-10,1.9628338e-07,9.582017e-12,3.3673615e-08,1.5748444e-12,3.5726467e-11,1.6703195e-08,1.6542243e-11,2.939546e-11,2.055174e-11,3.732433e-08,1.7433986e-06,9.24545e-10
14,3.343558e-05,1.9502117e-07,3.0077865e-07,7.832793e-11,1.8591701e-11,6.684562e-11,1.6286347e-11,2.859548e-12,1.8322728e-09,0.0001431904,1.8954367e-09,3.2635032e-09,8.032699e-10,1.3374718e-09,2.3138966e-09,8.723099e-08,6.7065025e-06,4.8528803e-10,9.036306e-06,2.8088515e-08,1.6992474e-13,8.522971e-12,1.3489501e-08,2.193922e-08,3.4498747e-13,0.090924904,1.3578336e-06,2.3826295e-11,4.7257307e-12,3.1222334e-09,1.2241483e-09,6.7237554e-10,5.892392e-10,6.504648e-09,5.3561787e-11,1.0257342e-07,7.6665464e-07,2.947795e-12,3.7076234e-06,3.4848515e-08,1.11026514e-10,1.0169223e-06,2.2788564e-11,0.7613698,5.537485e-07,0.14750004,4.543776e-10,2.0986431e-07,7.8154115e-12,3.646358e-08,1.3655081e-12,4.7266583e-11,2.9720702e-06,3.0902142e-11,3.4644725e-11,2.4898283e-11,2.3858776e-08,1.4998675e-06,9.348519e-10
15,0.00011695291,2.7179036e-07,1.9949141e-07,4.385634e-11,1.732131e-11,1.2197454e-10,1.20629375e-11,2.4151753e-12,1.5779685e-09,0.00017530908,1.97018e-09,1.5546726e-09,8.8988544e-10,3.5588528e-09,2.5164242e-09,5.406487e-08,4.6351674e-06,3.512335e-10,1.51504055e-05,9.8535544e-08,1.327857e-13,8.884511e-12,8.37094e-09,1.5582954e-08,2.4800805e-13,0.086988606,1.6499006e-06,3.531634e-11,3.5221403e-12,2.266971e-09,8.013159e-10,4.4962253e-10,3.4689923e-10,4.0823007e-09,4.163487e-11,9.343132e-08,1.1170375e-06,2.1715119e-12,5.89916e-06,1.9933465e-08,1.1391241e-10,1.0187042e-06,1.8160544e-11,0.7651599,4.6286152e-07,0.12941018,3.3259295e-10,2.4603287e-07,6.883511e-12,5.0934123e-08,1.0089966e-12,6.76427e-11,0.0181168,7.0340414e-11,4.61144e-11,2.5374354e-11,1.4075518e-08,1.2659831e-06,1.8236704e-09
16,0.0002331143,3.6058418e-07,1.380535e-07,2.6032964e-11,1.948459e-11,2.1333478e-10,1.1084018e-11,1.9803807e-12,1.2175553e-09,0.00016659814,2.3597493e-09,8.0680224e-10,1.2008908e-09,4.432762e-09,2.670253e-09,2.9678324e-08,9.656184e-06,3.2555544e-10,1.9575251e-05,2.9398848e-07,1.1164477e-13,1.059537e-11,5.495135e-09,1.0400104e-08,1.8675061e-13,0.093724824,2.0060263e-06,6.977085e-11,2.8301372e-12,1.666756e-09,5.200507e-10,3.0396108e-10,2.2037243e-10,2.8326066e-09,3.31201e-11,8.485349e-08,1.6492154e-06,1.710183e-12,1.0117448e-05,2.2872431e-08,1.01752634e-10,7.4116593e-07,1.5863373e-11,0.75829303,3.6760994e-07,0.10621217,2.3078041e-10,3.0703853e-07,6.217666e-12,1.7597036e-07,1.2643032e-12,9.925399e-11,0.04132356,1.7521488e-10,7.131684e-11,2.7815765e-11,8.288489e-09,1.1621192e-06,6.0198985e-08
17,4.511534e-05,3.555e-07,9.9863755e-08,1.6114972e-11,2.4705904e-11,3.3755398e-10,1.4641025e-11,1.6740057e-12,9.449908e-10,0.00013473595,3.0327367e-09,5.1282134e-10,1.8993014e-09,6.5996955e-09,2.5548068e-09,2.0087423e-08,3.3032316e-05,3.706226e-10,5.4864036e-06,7.2179046e-07,1.0771341e-13,1.2965869e-11,3.822688e-09,7.5206525e-09,1.5663268e-13,0.09888667,2.6594114e-06,1.468302e-10,2.0151177e-12,1.3204629e-09,3.114475e-10,2.5360428e-10,1.5150316e-10,2.354385e-09,2.8569138e-11,2.450341e-07,2.3685302e-06,1.8033887e-12,2.152276e-05,3.1310293e-08,1.3267297e-10,6.0667105e-07,1.3826331e-11,0.7533158,3.0733855e-07,0.09921595,1.8373551e-10,4.148455e-07,6.2886922e-12,4.436315e-08,1.6195194e-12,1.5687993e-10,0.0483236,4.2128706e-10,1.2701111e-10,3.5282027e-11,4.788219e-09,1.2053316e-06,8.799239e-06
18,6.858711e-05,4.9969816e-07,7.927575e-08,3.8980663e-12,2.892986e-11,4.837395e-10,9.28547e-12,1.9292569e-12,7.617922e-10,0.00014982463,4.0959454e-09,3.7475786e-10,3.2521e-09,2.2467912e-08,2.4558624e-09,3.186323e-08,7.265985e-05,3.2241407e-10,6.7629812e-06,1.4269292e-06,1.3388359e-13,1.4411266e-11,2.7923444e-09,5.243067e-09,1.4242844e-13,0.10069132,1.4669442e-06,2.974242e-10,8.4976053e-13,1.2388465e-09,1.3386543e-10,2.5204727e-10,1.08679614e-10,1.937536e-09,2.3541415e-11,1.677049e-07,3.1666725e-06,3.1898939e-12,4.6910063e-05,2.2256629e-08,2.1308655e-10,4.3948143e-07,4.9361158e-12,0.7513999,3.1473297e-07,0.08267837,1.3830424e-10,7.021934e-07,5.0421967e-12,3.5019e-08,1.2518636e-12,2.6143346e-10,0.06486307,9.1485863e-10,2.5492e-10,3.164061e-11,1.0989261e-09,4.6107314e-07,1.3767883e-05
19,0.00020784125,6.470227e-07,8.948478e-08,2.54451e-12,3.292171e-11,6.323813e-10,8.71939e-12,2.3850936e-12,1.5337565e-09,0.00015178126,6.9546346e-09,5.1330634e-10,4.8246327e-09,1.3963417e-07,2.7671128e-09,9.245563e-08,5.9854414e-05,1.0732598e-09,8.391683e-06,2.1535302e-06,1.7891534e-13,1.6426424e-11,1.5683181e-09,2.5180311e-09,8.4261055e-14,0.077607624,1.3697704e-06,5.388619e-10,6.5868095e-13,1.3480105e-09,4.5989654e-10,2.8763075e-10,1.3353375e-10,2.0109792e-09,1.5670687e-11,1.6900361e-07,3.7334653e-06,5.5009972e-12,8.197947e-05,1.4344802e-08,3.0898206e-10,2.6886025e-07,4.710684e-12,0.7743123,4.4154646e-07,0.035660014,4.0059706e-11,1.2641622e-06,9.275434e-12,5.3718388e-08,1.7750342e-12,3.963258e-10,0.11188357,1.7893422e-09,4.6705084e-10,8.452906e-12,8.6185553e-10,6.561325e-07,1.5589992e-05
