L,q_cr,P_cr_N
0.5,151.10752868652344,1387448.6637399415
0.5252525252525253,146.43496704101562,1218370.3582244448
0.5505050505050505,144.13645935058594,1091747.14029206
0.5757575757575758,146.05946350097656,1011395.9441086662
0.601010101010101,151.8329315185547,964879.9096080331
0.6262626262626263,155.9976806640625,913010.9378087369
0.6515151515151515,153.72691345214844,831326.6369001671
0.6767676767676768,147.42564392089844,738864.2367566788
0.702020202020202,142.2897186279297,662742.9695042715
0.7272727272727273,140.86683654785156,611343.060574987
0.7525252525252526,139.44578552246094,565241.5329771149
0.7777777777777778,138.5050048828125,525563.5464483928
0.803030303030303,137.56101989746094,489668.7036836286
0.8282828282828283,137.00424194335938,458403.0802739264
0.8535353535353536,136.2379913330078,429265.54567218845
0.8787878787878788,135.18963623046875,401833.47413417866
0.904040404040404,133.7690887451172,375708.40943548735
0.9292929292929293,133.4702911376953,354772.68192532344
0.9545454545454546,132.4559326171875,333694.47478053597
0.9797979797979798,130.64410400390625,312383.12426059885
1.0050505050505052,128.29672241210938,291548.37027050613
1.0303030303030303,125.58263397216797,271562.9152143133
1.0555555555555556,122.72505950927734,252837.73343034886
1.0808080808080809,119.77816772460938,235370.11952639202
1.106060606060606,116.76061248779297,219083.33537161848
1.1313131313131313,113.6774673461914,203882.31767369426
1.1565656565656566,110.54356384277344,189698.41683560252
1.1818181818181817,107.42144012451172,176547.04987225385
1.2070707070707072,104.41742706298828,164504.7320006757
1.2323232323232323,101.61933898925781,153602.3719588639
1.2575757575757576,99.10311889648438,143843.3661270218
1.2828282828282829,96.92491912841797,135197.67508638697
1.308080808080808,95.19023895263672,127700.94119083996
1.3333333333333335,94.3106460571289,121773.86081375522
1.3585858585858586,94.19133758544922,117140.64567800172
1.3838383838383839,92.88958740234375,111344.0764856582
1.4090909090909092,90.42982482910156,104545.29497451754
1.4343434343434343,87.64549255371094,97789.9254930524
1.4595959595959596,84.48493194580078,91030.05022670049
1.4848484848484849,81.40960693359375,84758.29392312905
1.5101010101010102,79.58401489257812,80109.62107663056
1.5353535353535352,78.3683090209961,76312.29559648248
1.5606060606060606,76.96793365478516,72542.76046295631
1.5858585858585859,75.28924560546875,68718.68791934283
1.6111111111111112,73.65451049804688,65135.71589345756
1.6363636363636362,72.2905044555664,61971.56221258308
1.6616161616161615,71.70581817626953,59616.133938442734
1.6868686868686869,71.65992736816406,57807.5600922432
1.7121212121212122,71.75985717773438,56193.15008813945
1.7373737373737375,71.8651351928711,54651.56099274204
1.7626262626262625,71.89234161376953,53116.93226390904
1.7878787878787878,72.19377136230469,51843.512115839476
1.8131313131313131,72.71748352050781,50775.142778563495
1.8383838383838385,72.78086853027344,49432.85295294168
1.8636363636363635,71.50304412841797,47257.74652603948
1.8888888888888888,70.3840560913086,45282.69809019338
1.9141414141414141,68.7110824584961,43047.66305564119
1.9393939393939394,67.7105941772461,41323.337037314304
1.9646464646464645,67.0244140625,39859.79241747436
1.9898989898989898,66.42729949951172,38508.39011595672
2.015151515151515,65.92646789550781,37266.20994820191
2.0404040404040407,65.51838684082031,36124.485880888904
2.0656565656565657,65.16698455810547,35057.60301234691
2.090909090909091,64.81330871582031,34030.21710295567
2.116161616161616,64.42543029785156,33024.06202148239
2.1414141414141414,64.02245330810547,32048.064659839925
2.166666666666667,63.60377502441406,31100.653712722233
2.191919191919192,63.15491485595703,30173.72335511766
2.217171717171717,62.67612838745117,29266.738714124585
2.242424242424242,62.18492126464844,28387.056217973564
2.2676767676767677,61.6987419128418,27541.32535953879
2.292929292929293,61.22361755371094,26730.58669758214
2.3181818181818183,60.76647186279297,25956.125174937664
2.3434343434343434,60.32624435424805,25215.729506471962
2.3686868686868685,59.894073486328125,24504.134916528725
2.3939393939393936,59.46309280395508,23817.272193901335
2.419191919191919,59.030548095703125,23152.985410435485
2.4444444444444446,58.60897445678711,22515.137738289122
2.4696969696969697,58.21310043334961,21908.075124864805
2.494949494949495,57.821163177490234,21322.304222470477
2.5202020202020203,57.34983825683594,20726.802800516056
2.5454545454545454,56.71904754638672,20094.123435954818
2.5707070707070705,55.7972526550293,19381.101692183132
2.595959595959596,54.66012954711914,18618.540249202186
2.621212121212121,53.56301498413086,17894.99199394301
2.6464646464646466,52.74248123168945,17286.186422562158
2.6717171717171717,52.15132522583008,16770.855385535837
2.696969696969697,51.66495895385742,16304.774018258293
2.7222222222222223,51.2430305480957,15872.980591542397
2.7474747474747474,50.88703155517578,15474.282722718572
2.7727272727272725,50.612403869628906,15111.705636299377
2.797979797979798,50.40543746948242,14779.477074379798
2.823232323232323,50.22513961791992,14464.344143063696
2.8484848484848486,50.06126403808594,14162.659456533012
2.8737373737373737,49.86717224121094,13860.899619993474
2.898989898989899,49.54439163208008,13532.309574933239
2.9242424242424243,49.078651428222656,13174.577683287705
2.9494949494949494,48.51203155517578,12800.442325806034
2.974747474747475,47.90401077270508,12426.31893454635
3.0,47.330013275146484,12071.603035894615
