feature,mean_weight,std_weight
I0,0.00047648975,0.0023559672
A11,7.945203e-05,0.0003882049
B11,9.98006e-05,0.0005419649
D11,0.00018367867,0.0014473071
L,9.030648e-05,0.00030845712
f,0.0002066956,0.0008635856
b,0.0015501962,0.008131103
h,0.0009178144,0.005203426
S,0.00025001302,0.0008438885
lambda,0.0005932149,0.006132941
KXL,0.00042169177,0.0016191785
KYL,0.00024156556,0.0016701084
KZL,0.0012247621,0.007687082
KXR,9.634671e-05,0.0004549624
KYR,0.0022965618,0.018404702
KZR,0.00027619058,0.000979476
load,0.00063914753,0.006094712
disp_0,0.0009545093,0.0067432523
disp_1,3.6958587e-05,0.00015314604
disp_2,0.007002882,0.05039003
disp_3,0.00026438606,0.0016148231
disp_4,0.00019363796,0.0008325006
disp_5,9.694046e-05,0.00034648355
disp_6,0.00066545355,0.0029029807
disp_7,0.027070902,0.14551803
disp_8,0.00012077243,0.00048202992
disp_9,0.15438019,0.31841826
disp_10,0.02365454,0.11241753
disp_11,0.00046398546,0.0024734167
disp_12,0.011242248,0.062088
disp_13,0.0004849668,0.0017452561
disp_14,0.0042671966,0.021445893
disp_15,0.013790324,0.082990035
disp_16,0.00010857191,0.00040826283
disp_17,0.061867084,0.21996929
disp_18,0.061873294,0.20961808
disp_19,0.00048438532,0.0015403219
disp_20,0.00044713446,0.0014225112
disp_21,0.0007538935,0.004138375
disp_22,0.005060612,0.033599462
disp_23,0.00036771994,0.0013482191
disp_24,0.0534153,0.20071906
disp_25,0.0013266082,0.008955453
disp_26,0.1761272,0.36385164
disp_27,0.0006727618,0.0038931163
disp_28,0.013431266,0.07671716
disp_29,0.00020090256,0.00077538646
disp_30,0.22883062,0.3871877
disp_31,0.0001352492,0.00039480746
disp_32,0.00021461489,0.00096864364
disp_33,0.00039374395,0.0015272222
disp_34,0.00026168386,0.0011074373
disp_35,9.3294766e-05,0.00042514602
disp_36,0.008610484,0.02817461
disp_37,0.009202797,0.058075156
disp_38,0.121507555,0.29797286
disp_39,0.00015852458,0.00057846465
disp_40,2.7419068e-05,0.00023384493
disp_41,8.195863e-05,0.0002476311
