timestep,I0,A11,B11,D11,L,f,b,h,S,lambda,KXL,KYL,KZL,KXR,KYR,KZR,load,disp_0,disp_1,disp_2,disp_3,disp_4,disp_5,disp_6,disp_7,disp_8,disp_9,disp_10,disp_11,disp_12,disp_13,disp_14,disp_15,disp_16,disp_17,disp_18,disp_19,disp_20,disp_21,disp_22,disp_23,disp_24,disp_25,disp_26,disp_27,disp_28,disp_29,disp_30,disp_31,disp_32,disp_33,disp_34,disp_35,disp_36,disp_37,disp_38,disp_39,disp_40,disp_41
0,0.10918171,0.01542586,0.007762126,0.076880515,0.07896053,0.02084776,0.045564026,0.029218681,0.02083082,0.03542595,0.010698703,0.06456116,0.006246844,0.00921795,0.0055605085,0.0044208113,0.029518116,0.011113063,0.021494793,0.010132122,0.0022322182,0.0012833396,0.0056600017,0.01581326,0.011836649,0.0035920888,0.0038368297,0.0021779928,0.0010972684,0.0026569818,0.0073412503,0.039371036,0.00075302104,0.00034250433,0.00014065969,0.035262175,0.0013572655,0.0003927778,0.020824468,0.012959197,0.00083337305,0.0016379477,0.00712845,0.015762359,0.0067973253,0.0002095664,0.037908003,0.00026055996,0.068461634,8.0339196e-05,0.00047327674,0.00049602636,6.9847905e-05,0.00012987695,0.0030843848,0.0033245285,0.006663431,0.062237386,0.002448664
1,0.11303992,0.015978165,0.0069000768,0.078725316,0.07605983,0.021600222,0.047422033,0.019496597,0.022154631,0.035930574,0.008072282,0.05966203,0.006293994,0.009379725,0.004890949,0.003989031,0.026499521,0.0110305175,0.021096112,0.00963213,0.002582895,0.001055715,0.006521947,0.01594561,0.012523285,0.0036665758,0.0042891474,0.002039843,0.0029586514,0.009553468,0.0077835834,0.04158397,0.0007195598,0.0011399275,0.0007402163,0.034686014,0.0013358197,0.00034560586,0.020526417,0.013336675,0.0008478038,0.00133127,0.0044464115,0.015548582,0.00759598,0.00019642699,0.03222941,0.00022858451,0.064776294,0.00068486587,0.00051299855,0.0005895442,6.792339e-05,0.00024099792,0.0019097872,0.002588446,0.0069650374,0.054902367,0.02314869
2,0.12092535,0.01707815,0.006260676,0.07472279,0.066942014,0.021545958,0.04185912,0.016111275,0.019412111,0.025707828,0.007454777,0.053578332,0.0056592356,0.011289708,0.011116748,0.0036543275,0.019453801,0.009041185,0.02559541,0.015768895,0.0017578837,0.009287282,0.006620499,0.017010199,0.011993656,0.0033891369,0.0041315183,0.0017267028,0.002562312,0.015729358,0.010334856,0.036728967,0.0005865393,0.0016849538,0.00066451455,0.030720763,0.0017649552,0.00028695483,0.015733877,0.0102413045,0.0006183484,0.0009698122,0.0031071506,0.015896227,0.039511647,0.00015909196,0.02598361,0.00014812809,0.050453946,0.0006009328,0.002755761,0.0008014996,3.223433e-05,0.00023496676,0.0060174153,0.0023545967,0.014572051,0.050837032,0.028811617
3,0.09242491,0.01670175,0.00622597,0.053711303,0.059942063,0.022162141,0.03390768,0.011784371,0.015667051,0.021211544,0.00599249,0.043522652,0.0047172066,0.011914717,0.013504593,0.0028380349,0.014435767,0.009811653,0.02114267,0.019014757,0.0017393572,0.07098341,0.0069628353,0.014016355,0.009332888,0.0026839813,0.0041915867,0.0013571987,0.0037000037,0.021825437,0.011729867,0.034271076,0.00051369966,0.0033675542,0.0010093986,0.02780157,0.0013771512,0.00029501377,0.014963743,0.007744331,0.0005539585,0.00073386484,0.0023288315,0.014179687,0.07771211,0.00015724142,0.022092089,0.00012753336,0.043845095,0.0010992441,0.008692898,0.001075979,2.4953772e-05,0.00030481958,0.012897593,0.0028071806,0.01811522,0.0396428,0.033109102
4,0.08602954,0.015729003,0.006137625,0.05078049,0.0545088,0.020679066,0.03139933,0.012068984,0.01269622,0.01473622,0.0050005154,0.03326363,0.0037028096,0.010751959,0.011446811,0.002216395,0.010440605,0.011400518,0.019141477,0.019880261,0.0013624971,0.11244381,0.008915381,0.013144754,0.009113108,0.0023520219,0.0044529624,0.001080595,0.0037031542,0.027336173,0.014948197,0.03306898,0.00039049363,0.004026354,0.0010527902,0.024113216,0.001480733,0.0003314336,0.012921623,0.00650525,0.0004470043,0.0006624423,0.0020047235,0.011197146,0.084557265,0.0001339447,0.019602071,0.00011867772,0.03259176,0.0012460478,0.011520897,0.0012590559,1.3735363e-05,0.00027238924,0.012924753,0.014630151,0.017749446,0.03859578,0.03571887
5,0.091130145,0.0133357635,0.0060709883,0.04611335,0.050728492,0.02191255,0.028043414,0.010422778,0.011471614,0.010077787,0.005220928,0.02796731,0.003282454,0.011191583,0.010509479,0.0020031673,0.007961845,0.014320241,0.020313615,0.020470746,0.0010875824,0.13548525,0.0082745105,0.012261896,0.00865014,0.0021261452,0.004097444,0.0009618772,0.003178169,0.025339952,0.018761959,0.03258824,0.00031409922,0.0042486377,0.00077304034,0.023824476,0.0014906328,0.00033554266,0.010883054,0.005544377,0.00036790455,0.00059738464,0.0015710251,0.00914548,0.08386817,0.00012546494,0.016232353,0.000113784736,0.024936836,0.0010521132,0.012572022,0.0012225416,9.888729e-06,0.00026618293,0.012454148,0.029009897,0.018010972,0.03813185,0.037536737
6,0.08814188,0.012250381,0.006256963,0.04056304,0.046759598,0.026135486,0.025797822,0.009177053,0.011472784,0.008527345,0.005002559,0.028447954,0.0031051883,0.011728526,0.011113245,0.001940042,0.0066745635,0.015788084,0.01956798,0.02208208,0.0010189109,0.15107335,0.0065438813,0.010960952,0.0079136705,0.002024627,0.0033007893,0.00083480193,0.00299793,0.025582278,0.021468654,0.03142398,0.0002798137,0.005066026,0.0006415168,0.026774101,0.0013166963,0.00036732794,0.009751795,0.004917839,0.00035727536,0.0005323365,0.00071842613,0.0074424786,0.08742752,0.00013314717,0.014216954,0.00011114317,0.022722907,0.0007950064,0.013002925,0.0011976268,7.774202e-06,0.00028632017,0.013276851,0.036566358,0.018455068,0.03380286,0.03415554
7,0.078355506,0.011451941,0.005850998,0.036744498,0.042477492,0.030494401,0.023531223,0.008435897,0.013053362,0.009410801,0.0047131586,0.025392033,0.0029409956,0.01244179,0.01142717,0.001742131,0.0058308244,0.017378883,0.018386867,0.024319898,0.00095115375,0.16797331,0.006377653,0.008644637,0.007086463,0.0018845501,0.003033781,0.0006106679,0.0029803908,0.027315026,0.02420694,0.029348677,0.0002469054,0.006149147,0.00064181146,0.031723894,0.0011612367,0.0004165127,0.00966581,0.004497106,0.00034662284,0.0004909873,0.00064860407,0.005644206,0.090358384,0.00015157662,0.012915975,0.00012584121,0.020203486,0.0008750457,0.012559866,0.0013305723,7.1540453e-06,0.00028987776,0.014791258,0.04185706,0.017818542,0.03008888,0.030200545
8,0.06826572,0.010648967,0.0055627325,0.032817196,0.038487613,0.034596875,0.021402936,0.007911038,0.014813056,0.011062526,0.004547064,0.022743948,0.0027738924,0.012735239,0.011660118,0.0015596765,0.0052891895,0.016341079,0.016651573,0.026362024,0.000925068,0.17949998,0.0063171457,0.007304957,0.00625568,0.0018092423,0.002947903,0.0005139287,0.0030380308,0.027075369,0.027355636,0.027118381,0.0002173766,0.0066235564,0.0006487729,0.039942008,0.0010613074,0.00039785638,0.010388988,0.0042098057,0.0003373418,0.0004598293,0.00060227315,0.0040761544,0.09195067,0.00016698251,0.011474676,0.00014242102,0.017773205,0.00097182684,0.011651534,0.0015188536,6.3384587e-06,0.0002910909,0.015810529,0.049516767,0.017114455,0.02824771,0.028003884
9,0.058805324,0.010411751,0.0056968103,0.028701589,0.035785675,0.03784826,0.019303929,0.008061593,0.016639767,0.013262787,0.0042877616,0.021105547,0.002815155,0.013095991,0.012079674,0.0014394209,0.004990365,0.012132559,0.014553884,0.030585598,0.0008809678,0.1824197,0.0060228393,0.006638378,0.005735115,0.0017555053,0.0030555034,0.00044152042,0.003001528,0.02652741,0.030029051,0.025275676,0.00019308683,0.007117117,0.00063587236,0.0513131,0.0009612667,0.0004101026,0.011539178,0.0040527247,0.00035559983,0.00045336736,0.0005596498,0.0034355395,0.096308,0.00020109715,0.01049671,0.00021258768,0.015461206,0.000979089,0.011701759,0.0017554339,5.5502733e-06,0.00031041916,0.017335031,0.049958043,0.016912531,0.027245112,0.026704187
