feature,mean_weight,std_weight
I0,0.018277809,0.06445232
A11,0.0018014789,0.012750412
B11,0.0019985843,0.009255972
D11,0.009712205,0.035926115
L,0.014861199,0.06552233
f,0.015597491,0.041630838
b,0.0033938545,0.015353865
h,0.0019875593,0.007940935
S,0.011315101,0.036262576
lambda,0.0070073674,0.04978531
KXL,0.0014719042,0.0049876207
KYL,0.0052371076,0.022996973
KZL,0.002013122,0.011659256
KXR,0.0055651506,0.015884034
KYR,0.003553372,0.010294713
KZR,0.00047501497,0.0017925878
load,0.002118696,0.0071125277
disp_0,0.0034824861,0.017209457
disp_1,0.003068703,0.013336046
disp_2,0.012813175,0.02792433
disp_3,0.01479333,0.05072128
disp_4,0.05168824,0.13240372
disp_5,0.024054231,0.08880062
disp_6,0.0027916962,0.009010905
disp_7,0.001339091,0.0042437413
disp_8,0.00037846845,0.0020943268
disp_9,0.0007026647,0.0020280222
disp_10,0.00016555587,0.0006407268
disp_11,0.0059893057,0.029202946
disp_12,0.026905011,0.102766596
disp_13,0.025220117,0.074812986
disp_14,0.005979859,0.022502525
disp_15,0.059075747,0.14400825
disp_16,0.0035559624,0.015216543
disp_17,0.0055549433,0.028703513
disp_18,0.011528195,0.06534903
disp_19,0.20971684,0.3642142
disp_20,0.00028223102,0.00092408963
disp_21,0.011953716,0.05303505
disp_22,0.0018280951,0.004680124
disp_23,0.24623834,0.34356543
disp_24,0.00034303192,0.00143079
disp_25,0.04856041,0.16811231
disp_26,0.000955919,0.0049037277
disp_27,0.022204267,0.062279932
disp_28,0.00038482118,0.0014686396
disp_29,0.00277877,0.011875474
disp_30,0.00024610557,0.00071496004
disp_31,0.005558907,0.018074006
disp_32,0.00012616978,0.0005529896
disp_33,0.0048804753,0.014306157
disp_34,0.00068142853,0.0019530773
disp_35,6.0686634e-05,0.00035474106
disp_36,0.00034897504,0.0018530394
disp_37,0.0076375566,0.019187493
disp_38,0.053030785,0.13807982
disp_39,0.003762863,0.012722391
disp_40,0.006075693,0.023444083
disp_41,0.0068609896,0.022484744
