boundary,lambda,f_L,f_mm,L_mm,S_mm,f_m,L_m,S_m
pin-ended,12,0.08,77.94228634059948,974.2785792574934,990.6508657262738,0.07794228634059948,0.9742785792574935,0.9906508657262738
pin-ended,12,0.1,77.94228634059948,779.4228634059948,799.7086424642414,0.07794228634059948,0.7794228634059948,0.7997086424642414
pin-ended,12,0.1111111111111111,77.94228634059948,701.4805770653953,723.8903208472741,0.07794228634059948,0.7014805770653953,0.7238903208472741
pin-ended,12,0.125,77.94228634059948,623.5382907247958,648.5447742590717,0.07794228634059948,0.6235382907247958,0.6485447742590716
pin-ended,12,0.14285714285714285,77.94228634059948,545.5960043841965,573.8339872294594,0.07794228634059948,0.5455960043841964,0.5738339872294593
pin-ended,12,0.16666666666666666,77.94228634059948,467.6537180435969,499.9853331182159,0.07794228634059948,0.4676537180435969,0.4999853331182159
pin-ended,12,0.2,77.94228634059948,389.7114317029974,427.29000602401175,0.07794228634059948,0.3897114317029974,0.42729000602401174
pin-ended,12,0.25,77.94228634059948,311.7691453623979,355.93644095540435,0.07794228634059948,0.3117691453623979,0.35593644095540433
pin-ended,12,0.3333333333333333,77.94228634059948,233.82685902179844,284.6336827104855,0.07794228634059948,0.23382685902179845,0.2846336827104855
