f_L,L,f,theoretical_q_cr,boundary
0.08,2.1109369217245693,0.1688749537379655,15852738.903429663,fixed
0.1111111111111111,1.51987458364169,0.1688749537379655,42472401.46880802,fixed
0.125,1.3509996299037244,0.1688749537379655,60473399.747580186,fixed
0.1428571428571428,1.182124676165759,0.1688749537379655,90269331.4016357,fixed
0.1666666666666666,1.0132497224277934,0.1688749537379655,143344354.95722702,fixed
0.2,0.8443747686898276,0.1688749537379655,247699045.36608848,fixed
0.25,0.6754998149518622,0.1688749537379655,483787197.9806415,fixed
0.3333333333333333,0.5066248612138967,0.1688749537379655,1146754839.6578162,fixed
