boundary,lambda,f_L,f_mm,L_mm,S_mm,f_m,L_m,S_m
fixed,26,0.08,168.87495373796554,2110.9369217245694,2146.4102090735933,0.16887495373796554,2.1109369217245693,2.1464102090735935
fixed,26,0.1,168.87495373796554,1688.7495373796553,1732.702058672523,0.16887495373796554,1.6887495373796553,1.732702058672523
fixed,26,0.1111111111111111,168.87495373796554,1519.87458364169,1568.4290285024274,0.16887495373796554,1.51987458364169,1.5684290285024274
fixed,26,0.125,168.87495373796554,1350.9996299037243,1405.1803442279884,0.16887495373796554,1.3509996299037244,1.4051803442279884
fixed,26,0.14285714285714285,168.87495373796554,1182.124676165759,1243.306972330495,0.16887495373796554,1.182124676165759,1.243306972330495
fixed,26,0.16666666666666666,168.87495373796554,1013.2497224277935,1083.301555089468,0.16887495373796554,1.0132497224277934,1.083301555089468
fixed,26,0.2,168.87495373796554,844.3747686898276,925.7950130520254,0.16887495373796554,0.8443747686898276,0.9257950130520254
fixed,26,0.25,168.87495373796554,675.4998149518622,771.1956220700428,0.16887495373796554,0.6754998149518622,0.7711956220700428
fixed,26,0.3333333333333333,168.87495373796554,506.62486121389674,616.7063125393853,0.16887495373796554,0.5066248612138967,0.6167063125393853
