case,f_L,L,f,lambda,boundary
1,0.08,0.9742785792574935,0.07794228634059948,12,pin-ended
2,0.1111111111111111,0.7014805770653953,0.07794228634059948,12,pin-ended
3,0.125,0.6235382907247958,0.07794228634059948,12,pin-ended
4,0.14285714285714285,0.5455960043841964,0.07794228634059948,12,pin-ended
5,0.16666666666666666,0.4676537180435969,0.07794228634059948,12,pin-ended
6,0.2,0.3897114317029974,0.07794228634059948,12,pin-ended
7,0.25,0.3117691453623979,0.07794228634059948,12,pin-ended
8,0.3333333333333333,0.23382685902179845,0.07794228634059948,12,pin-ended
