timestep,I0,A11,B11,D11,L,f,b,h,S,lambda,KXL,KYL,KZL,KXR,KYR,KZR,load,disp_0,disp_1,disp_2,disp_3,disp_4,disp_5,disp_6,disp_7,disp_8,disp_9,disp_10,disp_11,disp_12,disp_13,disp_14,disp_15,disp_16,disp_17,disp_18,disp_19,disp_20,disp_21,disp_22,disp_23,disp_24,disp_25,disp_26,disp_27,disp_28,disp_29,disp_30,disp_31,disp_32,disp_33,disp_34,disp_35,disp_36,disp_37,disp_38,disp_39,disp_40,disp_41
0,5.2672784e-14,6.1515404e-17,1.2941164e-06,6.9542146e-15,0.00010204325,3.474286e-07,0.006071863,1.30700775e-08,3.482385e-05,6.917752e-08,1.7517043e-10,2.1798742e-07,1.9316668e-14,1.6415219e-05,5.4066882e-14,0.0012259949,0.000714966,7.4191485e-06,1.9932675e-17,4.4222412e-17,4.6164206e-17,1.6241327e-17,0.009923941,3.216307e-17,2.9628572e-10,7.270216e-09,7.187958e-18,2.5974294e-12,0.00072845904,1.9936211e-10,1.2961104e-18,3.205548e-18,2.9228592e-10,1.6891908e-11,9.608685e-12,1.0528172e-17,5.249384e-20,4.0080257e-16,9.08575e-09,3.3084602e-18,0.085962445,0.051111147,5.518068e-15,1.1709352e-15,2.2241233e-13,1.4592234e-12,1.5008654e-15,3.2115132e-17,8.004697e-09,2.0703244e-12,0.083735615,0.7603607,8.2854825e-08,1.6779506e-16,2.044763e-06,2.0459419e-17,6.6639234e-20,1.3007375e-15,1.5258295e-15
1,5.230739e-14,1.0148869e-16,1.0766423e-06,7.875057e-15,0.00010565449,3.3966782e-07,0.0041415775,1.39179965e-08,2.3259241e-05,7.4257706e-08,1.6539924e-10,1.9245205e-07,3.7646386e-13,1.4646846e-05,4.1926904e-14,0.0022475647,0.0003570888,3.6900906e-06,1.9227733e-13,1.9726686e-14,1.2228439e-16,9.706787e-15,0.009495707,4.4656467e-17,3.2498648e-10,9.412865e-09,1.0235042e-17,2.5634581e-12,0.0007048557,1.9146755e-08,1.8396046e-18,1.234985e-16,4.071277e-08,8.81488e-11,1.1849251e-11,4.48121e-15,5.5863875e-20,1.2997036e-14,4.9268216e-09,5.4598033e-15,0.0827611,0.042752527,3.1340696e-15,4.9641425e-15,2.8613223e-13,2.2401625e-12,2.517269e-15,3.944946e-17,7.048199e-09,1.5192658e-11,0.069123365,0.7882648,8.049288e-08,1.2606926e-16,2.2961215e-06,3.3807086e-16,1.0964459e-19,1.3064183e-15,9.333091e-11
2,5.182319e-14,2.4511543e-16,1.1384552e-06,4.7093558e-14,0.0058809044,2.1772024e-07,0.002991518,3.1096167e-08,2.066475e-05,7.8947494e-08,4.723622e-10,2.1678562e-07,4.019867e-11,1.9373565e-05,7.642341e-14,0.0025693814,0.00020467657,2.0598907e-06,7.14153e-12,2.26338e-13,3.7318016e-16,3.214938e-14,0.009067043,1.05737915e-13,1.8160892e-05,0.00014195546,5.2924567e-15,3.2377048e-12,0.0017513342,8.179123e-06,1.826994e-14,5.0025454e-14,5.93799e-08,2.1737752e-10,1.6941266e-10,4.1214772e-15,8.0300755e-19,1.795368e-14,2.513792e-09,2.243857e-12,0.062259465,0.041210417,7.22736e-15,2.3752196e-14,1.660597e-12,2.5081343e-10,3.294285e-14,3.8095714e-16,1.5392594e-08,9.328581e-12,0.07987625,0.7939704,4.791009e-07,3.91173e-16,5.9597296e-06,1.3727388e-15,7.952841e-17,9.724929e-15,1.5486046e-10
3,5.0954497e-14,4.4630563e-16,5.1265783e-06,1.3029879e-11,0.0004862146,8.474065e-08,0.0018280376,9.085791e-08,1.8982948e-05,3.062203e-07,4.7646453e-10,2.2390927e-07,4.6441462e-11,6.055034e-05,2.0380102e-10,0.0032660516,0.00017427285,1.0244975e-06,2.7929398e-11,3.3831786e-13,5.225856e-16,9.1287675e-14,0.00833666,4.601226e-13,1.6868e-05,0.00029757043,6.833996e-15,7.397061e-12,0.0027971219,1.0163628e-05,1.3811651e-14,2.1709493e-14,8.224979e-08,2.9555094e-10,2.5738064e-10,4.002834e-15,1.351913e-18,1.7270834e-14,3.322633e-09,7.7692835e-12,0.0379777,0.038386654,7.56907e-15,7.947279e-14,2.5004717e-11,2.2733075e-09,2.6114507e-14,4.4513514e-16,6.9031756e-08,9.907767e-12,0.096746564,0.80958116,3.3280362e-06,1.0184647e-15,5.075473e-06,1.4318221e-15,9.5393817e-17,1.4677993e-14,2.0256412e-10
4,4.9709965e-14,6.1368797e-16,6.769249e-06,6.8701295e-11,0.0008411358,2.2637221e-07,0.0018972608,3.534651e-08,1.7187554e-05,1.3955597e-07,4.9093585e-10,2.1895355e-07,5.9054245e-10,0.00017611492,5.321326e-09,0.0071394066,0.00011344996,1.2254812e-06,2.666859e-11,6.091519e-13,2.0326703e-15,1.5720452e-13,0.005721146,5.614486e-13,1.6707041e-05,0.0004298644,7.922359e-15,1.1168826e-11,0.0038868429,1.0153688e-05,1.1085516e-14,7.0442923e-15,2.0820839e-07,1.619145e-09,2.5159266e-10,3.8692376e-15,2.6626807e-18,9.487095e-15,1.02585185e-08,5.665771e-12,0.038769133,0.033416554,6.612289e-15,2.118589e-13,6.0199505e-11,2.0067898e-08,1.03559176e-13,8.5023997e-16,2.6258402e-07,2.1352411e-11,0.09411908,0.81342715,1.4078367e-06,8.373826e-16,8.38385e-06,1.5779623e-15,1.1090836e-16,1.6673567e-14,5.6288785e-10
5,4.854229e-14,1.3665558e-15,8.359799e-06,2.8819386e-10,0.0008388029,8.7003184e-07,0.0024332337,3.1322546e-08,4.40075e-05,1.8450989e-07,4.6254292e-10,2.0955783e-07,1.4196181e-09,0.00047790515,2.0164437e-08,0.008348419,7.8923906e-05,1.6101118e-06,1.8678063e-11,9.966546e-13,9.532688e-15,1.6391775e-13,0.010649558,4.576719e-13,1.5712121e-05,0.00045533382,9.601982e-15,3.5448356e-11,0.0053477646,5.6105473e-06,7.635184e-15,4.0124162e-15,3.2047762e-07,1.0277542e-08,2.9000766e-10,3.813416e-15,1.09083246e-16,4.8493238e-15,2.1753529e-08,3.308559e-12,0.03180248,0.036109045,8.859179e-15,3.3475297e-12,1.0704198e-10,4.2862638e-08,3.0406626e-13,1.0998297e-15,4.316105e-07,2.3971996e-11,0.10391844,0.7994422,3.1373047e-06,7.796278e-16,1.7315668e-05,1.8261564e-15,1.2831108e-16,1.694066e-14,9.1609326e-10
6,1.2843723e-13,4.2135153e-14,1.21559515e-05,8.317135e-10,0.00069390284,8.8295326e-07,0.0028584388,3.366424e-08,3.6133195e-05,2.660374e-07,3.7592043e-10,1.2355764e-07,7.691587e-10,0.0010025109,4.380201e-08,0.010979823,7.2599025e-05,1.383029e-06,3.0322353e-10,3.5518912e-12,4.1546925e-14,2.426314e-13,0.011066875,3.059756e-13,1.4663952e-05,0.0004890718,3.164717e-13,1.3421596e-10,0.004942246,3.6874471e-06,9.519392e-15,3.854411e-15,5.2886294e-06,3.3090014e-08,3.3523564e-10,1.1552315e-14,7.101331e-16,4.0838474e-15,5.8616195e-08,1.911607e-12,0.025532547,0.039114255,1.6357514e-14,3.0178768e-10,1.3283963e-10,1.00622444e-07,3.212311e-13,1.8011135e-15,8.3997065e-07,2.1834175e-11,0.11447381,0.7886671,3.6023414e-06,1.4887467e-09,2.750428e-05,1.9129439e-15,1.0313401e-15,2.412878e-13,4.1667545e-09
7,1.4871294e-12,1.122058e-12,1.3222456e-05,4.3900533e-10,0.00045477418,8.9177286e-07,0.002638392,4.2813014e-08,3.100127e-05,2.7933152e-07,2.8368238e-10,1.3516882e-07,1.0914363e-09,0.0019243218,7.093787e-08,0.015595273,7.85197e-05,1.8369791e-06,3.6854886e-09,1.4986827e-10,4.548518e-14,7.736153e-13,0.010982043,1.8305351e-13,1.3033877e-05,0.0004741865,4.39106e-12,7.009591e-10,0.00606907,5.4464426e-06,3.8043567e-14,8.390118e-15,7.003823e-05,4.033406e-08,4.1194817e-10,4.4874616e-14,8.353072e-15,1.1568141e-14,9.169198e-08,1.3320268e-12,0.023541188,0.039743803,6.197638e-14,1.2341185e-09,3.1820277e-10,1.9601057e-07,7.6210837e-13,8.661178e-15,1.3217909e-06,1.9029217e-11,0.11682309,0.78149694,1.977714e-06,4.4609138e-08,3.877088e-05,1.4810997e-15,1.3441292e-14,4.8739146e-12,1.8570065e-08
8,2.3918912e-12,1.5286634e-12,2.1283664e-05,5.339068e-10,0.00025198696,9.166952e-07,0.003884705,4.3249955e-08,2.812075e-05,3.8075544e-07,2.5244556e-10,1.89736e-07,1.8700417e-09,0.003241155,9.0952014e-08,0.0077644275,9.458849e-05,2.4166036e-06,2.6437081e-09,2.2484279e-09,1.4564971e-13,3.7239393e-13,0.010933339,6.27244e-14,1.04522405e-05,0.00034479966,4.086908e-12,1.0920868e-09,0.008990966,4.460133e-06,1.8431352e-14,9.878503e-15,7.130998e-05,2.4100163e-07,1.0248341e-08,3.3070823e-14,1.3281645e-13,1.20830554e-14,2.392867e-07,1.5147256e-12,0.023948092,0.040764537,1.2210888e-13,9.9930834e-11,3.897385e-10,4.877839e-07,1.8288515e-12,6.3018345e-15,2.4318497e-06,1.5632128e-11,0.115559466,0.7839949,2.8724403e-06,8.8076376e-08,8.108732e-05,1.6087315e-15,3.4288155e-14,6.2498483e-12,8.26189e-09
9,1.773889e-11,6.184616e-12,2.7607406e-05,6.9085543e-10,0.00020879526,9.669777e-07,0.0044674757,5.726639e-08,2.449719e-05,5.522484e-07,2.3596766e-10,3.122287e-07,2.7868488e-09,0.0050382153,7.660074e-08,0.008053794,0.00012218917,2.7724218e-06,6.544619e-09,8.432943e-09,8.867736e-13,1.7555494e-12,0.011031174,4.8813906e-14,8.0607015e-06,0.00027924328,1.6301035e-11,3.4072074e-09,0.011277733,3.405688e-06,5.3638863e-14,1.7082742e-14,0.00028251382,5.2393426e-07,1.3111178e-07,3.3909806e-11,6.9596195e-13,6.2955534e-14,3.526237e-07,2.2850038e-11,0.027498621,0.03967975,6.4484605e-13,3.2005826e-08,6.0009697e-10,9.4085635e-07,1.2163331e-11,1.3235779e-14,3.6891781e-06,1.8215198e-11,0.11453222,0.77731806,6.4907076e-06,3.026169e-07,0.00012939054,2.330038e-15,1.5883563e-12,2.6722189e-11,1.375687e-08
