feature,mean_weight,std_weight
I0,3.2735323e-05,0.00030103707
A11,0.014530944,0.07891647
B11,2.0007745e-05,0.00024438716
D11,7.620445e-07,1.058721e-05
L,0.0002925742,0.0022353048
f,2.1464727e-08,3.922471e-07
b,0.00016987255,0.001990418
h,1.3556106e-05,0.0003044568
S,4.590987e-06,4.49378e-05
lambda,0.003500258,0.01629431
KXL,0.00045556785,0.0033003183
KYL,0.0029570078,0.022163134
KZL,0.0056009875,0.03572126
KXR,4.7532994e-05,0.00035215507
KYR,0.0003084165,0.00413316
KZR,0.0017753809,0.009292249
load,0.1333931,0.23284979
disp_0,0.0008495552,0.004022896
disp_1,1.5315774e-05,0.0002216572
disp_2,0.0035198242,0.01830543
disp_3,0.0001478421,0.004410209
disp_4,0.04745002,0.08202204
disp_5,0.010602853,0.054047015
disp_6,9.933577e-06,8.762348e-05
disp_7,3.879805e-06,1.6486e-05
disp_8,7.417062e-06,0.000108947694
disp_9,0.01151227,0.0462501
disp_10,3.3579803e-05,0.00050516863
disp_11,0.00026665526,0.0016979584
disp_12,0.0068965685,0.015963478
disp_13,1.8254239e-05,0.00043701232
disp_14,1.8222282e-06,9.5996775e-06
disp_15,4.70893e-06,3.359206e-05
disp_16,1.8487179e-05,0.00016869635
disp_17,0.12330759,0.17498471
disp_18,0.0013488437,0.007434416
disp_19,0.011281008,0.03693116
disp_20,3.6232545e-06,2.8598743e-05
disp_21,2.3989253e-06,5.2214633e-05
disp_22,0.19594608,0.3335502
disp_23,2.5857931e-05,0.0004092117
disp_24,0.0003834567,0.0034502686
disp_25,9.087965e-07,6.931987e-06
disp_26,0.08557815,0.23387916
disp_27,6.1243736e-05,0.0002655369
disp_28,0.00065368187,0.0030333241
disp_29,8.2192093e-07,5.6379617e-06
disp_30,0.0024592716,0.017847184
disp_31,4.4978016e-05,0.00029109305
disp_32,0.0106937755,0.038931705
disp_33,0.0063303146,0.02228622
disp_34,0.202784,0.2931434
disp_35,7.945807e-06,4.9143036e-05
disp_36,0.028344508,0.0455195
disp_37,3.61264e-08,4.1309713e-07
disp_38,0.086123444,0.16717203
disp_39,6.782895e-05,0.00051985116
disp_40,1.3633054e-05,0.0004078475
disp_41,6.738414e-05,0.0008585419
