timestep,I0,A11,B11,D11,L,f,b,h,S,lambda,KXL,KYL,KZL,KXR,KYR,KZR,load,disp_0,disp_1,disp_2,disp_3,disp_4,disp_5,disp_6,disp_7,disp_8,disp_9,disp_10,disp_11,disp_12,disp_13,disp_14,disp_15,disp_16,disp_17,disp_18,disp_19,disp_20,disp_21,disp_22,disp_23,disp_24,disp_25,disp_26,disp_27,disp_28,disp_29,disp_30,disp_31,disp_32,disp_33,disp_34,disp_35,disp_36,disp_37,disp_38,disp_39,disp_40,disp_41
0,5.837186e-06,0.000694442,1.1411163e-11,6.6584814e-11,7.746489e-06,4.5431662e-13,3.0572036e-09,1.1426822e-11,1.0664627e-06,4.0480285e-07,0.0015568971,1.0205019e-07,0.03012034,5.301314e-06,2.364919e-09,1.30869985e-05,7.7390195e-12,7.817284e-06,4.1203256e-11,2.491174e-11,0.00031285227,0.14910261,1.1747603e-10,4.992385e-10,2.4857857e-07,2.1263047e-09,2.70113e-07,4.903756e-11,8.4824626e-07,0.0016544464,4.5766586e-13,4.8542394e-14,1.8780132e-11,8.8509006e-10,0.3958105,2.6606982e-11,0.00077532785,8.389842e-13,8.396297e-10,2.146122e-06,3.2903005e-10,8.5088776e-11,2.0266331e-13,6.115712e-05,2.339253e-06,0.00047588107,1.0026117e-09,2.0537968e-06,1.6891667e-07,1.2607915e-06,0.058154713,0.36106944,7.57374e-11,1.8415745e-06,1.7474807e-09,0.00015884748,1.6616774e-13,1.4818457e-14,1.7795453e-10
1,4.9424143e-06,0.0009667984,2.2362836e-11,7.4106034e-11,1.2991827e-05,3.238083e-12,3.9156767e-09,3.1549582e-11,1.3882045e-06,4.4626478e-07,0.0018332643,1.338572e-07,0.027252449,9.232377e-06,3.2551812e-09,2.0764975e-05,0.011532607,1.0031417e-05,2.259837e-10,5.4709215e-10,0.00020504005,0.15130743,3.5920106e-10,1.296286e-09,4.372709e-07,2.2052968e-09,3.6689988e-07,6.046953e-09,1.107339e-06,0.002952476,1.6789514e-09,3.1251546e-12,4.1686085e-10,2.778326e-09,0.3865636,4.6047503e-11,0.0015721807,3.356681e-12,1.4920944e-09,2.8109927e-05,9.778774e-10,5.390724e-09,1.2370561e-12,0.00015126953,3.0365356e-06,0.00070345076,2.0089608e-09,3.3195456e-06,1.9429184e-07,1.8848885e-06,0.053300425,0.36108017,2.4181463e-09,3.9222587e-06,3.1274767e-09,0.00047589032,1.6325429e-11,2.1964845e-09,6.1183476e-07
2,5.1656493e-06,0.0028015906,2.8917257e-10,6.924346e-11,1.4232551e-05,6.446568e-12,3.5628467e-09,8.821583e-11,1.3772082e-06,1.5140652e-06,0.0016707005,5.6985493e-07,0.020709435,1.532415e-05,3.1918056e-08,2.0750464e-05,0.12550078,2.6822645e-05,1.1818024e-09,2.1323165e-09,0.00016599896,0.12953608,7.1824835e-10,2.5068487e-09,1.2460011e-06,3.2941412e-09,3.8525818e-07,7.946446e-09,9.1288854e-07,0.010976768,1.561003e-08,1.4356695e-11,1.1615201e-09,6.5864487e-09,0.34613106,4.5458984e-11,0.0022248412,8.97922e-10,1.3504189e-09,0.00017413942,6.553436e-09,3.0855023e-08,3.4805568e-12,0.00040009644,3.5364994e-06,0.0014186354,2.6540137e-09,3.7844763e-06,1.7098199e-07,4.9326495e-06,0.03887256,0.31795546,9.037575e-09,0.00016655048,6.9969044e-09,0.0011934878,6.726533e-11,7.62914e-08,8.2008296e-07
3,4.517889e-06,0.0055755638,8.9729013e-10,7.2804124e-11,3.1095366e-05,6.3753633e-12,2.6495477e-09,1.3387971e-10,1.0603031e-06,2.889138e-06,0.0021453793,1.0676843e-06,0.01767553,1.4837349e-05,8.391529e-08,1.4286535e-05,0.15103981,3.4564582e-05,3.1825074e-09,2.1089206e-09,0.00016304734,0.12590793,8.8101165e-10,3.5088799e-09,1.6974144e-06,2.8564797e-09,5.688838e-07,2.0648173e-08,8.9798016e-07,0.016378755,3.5745103e-08,1.989047e-11,1.7623042e-09,1.11394005e-08,0.3299401,3.9371745e-11,0.0030593667,2.886508e-09,1.8989486e-09,2.9248713e-05,8.60056e-09,1.2078509e-07,1.02771255e-11,0.00036954993,4.696842e-06,0.0014075798,9.309258e-09,4.7831827e-06,1.4329659e-07,8.949258e-06,0.031898912,0.310243,4.241849e-09,0.0018983062,8.693905e-09,0.0021382414,1.5258238e-10,1.6484002e-07,3.0621484e-06
4,4.387607e-06,0.00827471,9.325763e-10,1.00158444e-10,3.8693903e-05,7.710524e-12,2.82098e-09,2.069283e-10,1.1770851e-06,4.0146397e-06,0.0014779215,9.091914e-07,0.010455768,3.001438e-05,1.6091596e-07,2.7080947e-05,0.22378948,4.6577738e-05,3.7571994e-09,2.2222735e-09,0.00014911106,0.11409746,1.3379807e-09,4.3301838e-09,2.4922074e-06,4.901782e-09,7.456185e-07,3.7025274e-08,7.578525e-07,0.02109808,4.560586e-08,4.6839196e-11,4.195347e-09,1.3713784e-08,0.29489475,4.5702747e-11,0.0053645847,3.3731988e-09,2.3139048e-09,5.5724828e-05,1.1232853e-08,2.5565384e-07,1.4501077e-11,0.00046898637,6.535022e-06,0.0022423745,1.5763073e-08,7.011414e-06,1.2773629e-07,1.3242208e-05,0.026644235,0.28524983,5.0118047e-09,0.0030785245,1.238268e-08,0.002467066,2.1662086e-10,2.6354408e-07,6.68703e-06
5,4.199087e-06,0.012620294,1.3952667e-09,1.40412e-10,4.1433923e-05,9.649519e-12,3.3628322e-09,3.261929e-10,1.2705003e-06,4.591006e-06,0.0015440111,1.6059514e-06,0.005469696,3.3054e-05,3.8290932e-07,2.1212376e-05,0.25384527,4.637913e-05,5.7507226e-09,2.3079338e-09,0.0001445535,0.105177596,1.7801373e-09,3.920796e-09,2.723206e-06,7.0617263e-09,9.945575e-07,3.6187593e-08,6.672507e-07,0.02355672,4.103042e-08,1.2352258e-10,4.8822306e-09,1.605794e-08,0.2893447,4.282633e-11,0.0071793324,3.433771e-09,2.473142e-09,5.7137677e-05,1.4268255e-08,3.5502578e-07,1.9107447e-11,0.0006135228,1.0796404e-05,0.003204647,2.0576906e-08,5.847756e-06,1.2038497e-07,1.3540749e-05,0.026633933,0.2642611,5.0012967e-09,0.0041815955,1.2988883e-08,0.0019677617,2.9842456e-10,3.3797085e-07,8.3800405e-06
6,2.6345256e-06,0.012810354,1.9963633e-09,1.4906908e-10,6.770409e-06,9.630442e-12,4.1111456e-09,3.5936984e-10,1.2560131e-06,5.12382e-06,0.00096422154,2.8608436e-06,0.0034619193,1.8490895e-05,1.0434276e-06,2.0554293e-05,0.2609771,3.7116322e-05,6.85869e-09,2.4738542e-09,0.00013520694,0.10247008,2.6930358e-09,3.7544137e-09,2.7191209e-06,6.5517316e-09,4.6896747e-07,3.946301e-08,6.2440324e-07,0.023842294,3.2794304e-08,1.2007706e-10,4.4061808e-09,1.6629489e-08,0.29610187,5.212798e-11,0.0065383236,3.5543721e-09,2.4881002e-09,5.9652106e-05,1.6122979e-08,4.89602e-07,2.0295618e-11,0.00053997687,1.0883597e-05,0.003350545,2.5547264e-08,3.834675e-06,1.17703685e-07,1.1922189e-05,0.02713322,0.24836305,4.6494684e-09,0.011312722,1.2129363e-08,0.0018030102,4.122599e-10,1.6365449e-07,9.195064e-06
7,1.8206317e-06,0.014671287,3.0033862e-09,1.5856505e-10,2.9807413e-06,8.9500525e-12,7.094358e-09,3.4124223e-10,1.1531957e-06,5.8688847e-06,0.00096939184,3.4065067e-06,0.002511643,1.3662146e-05,1.3987859e-06,2.405094e-05,0.27209616,3.250283e-05,8.8723535e-09,2.7780804e-09,0.00013706666,0.10072119,3.1353722e-09,3.729586e-09,2.6949206e-06,5.7630203e-09,4.424967e-07,4.2975042e-08,6.199814e-07,0.024083048,4.2868272e-08,1.3759402e-10,4.8253037e-09,2.1186393e-08,0.29099536,1.06556944e-10,0.008066916,3.6197796e-09,3.5060945e-09,6.840396e-05,2.3266407e-08,5.542615e-07,2.344515e-11,0.00048080477,1.1387337e-05,0.0036457174,3.1422765e-08,2.7549127e-06,1.1472877e-07,1.0488054e-05,0.028226651,0.2372565,4.380878e-09,0.013643962,1.15699486e-08,0.0023000205,7.3991374e-10,7.093418e-08,9.701177e-06
8,9.669163e-07,0.019990884,3.7192918e-09,1.6921822e-10,2.0419134e-06,8.86492e-12,3.7426016e-08,3.368178e-10,1.0778537e-06,6.6371094e-06,0.0006961205,6.337496e-06,0.0019327118,9.837329e-06,1.3175452e-06,3.0857675e-05,0.27836275,3.0737818e-05,1.0768807e-08,3.2947458e-09,0.0001416876,0.097184315,3.366562e-09,1.142933e-08,2.7737217e-06,5.9642824e-09,4.7950925e-07,4.0863238e-08,5.6480036e-07,0.023235453,8.6821e-08,1.1034027e-10,5.9655454e-09,2.5866429e-08,0.29264018,2.7955657e-10,0.009496436,3.5989087e-09,4.674301e-09,8.4838415e-05,3.0488163e-08,4.1331464e-07,1.3689108e-11,0.00040898574,1.600312e-05,0.0037391055,3.9644753e-08,2.4339904e-06,1.06022874e-07,8.9767345e-06,0.027243184,0.22605045,6.022545e-09,0.015958829,1.0740208e-08,0.0027020257,1.5978683e-09,1.36555e-07,1.00626885e-05
9,5.6346084e-07,0.022091758,5.8111778e-09,1.8504734e-10,2.0657303e-06,8.780298e-12,8.573744e-08,3.2695968e-10,1.0061906e-06,1.2365281e-05,0.0007222426,9.2337705e-06,0.0016188134,7.951798e-06,1.102768e-06,3.994604e-05,0.2836058,3.059911e-05,1.3868152e-08,3.8140278e-09,0.00016219146,0.092801824,3.7010912e-09,5.2500162e-08,2.8730174e-06,5.6390883e-09,4.2542814e-07,3.408278e-08,5.255901e-07,0.02318013,1.0771147e-07,1.0780267e-10,5.759412e-09,3.055028e-08,0.29633263,7.2627415e-10,0.01031657,3.4766885e-09,5.100407e-09,9.2367074e-05,4.2347427e-08,4.1186232e-07,1.3824939e-11,0.00047997723,1.6359147e-05,0.0035823078,4.916121e-08,2.2414886e-06,1.00343776e-07,8.098055e-06,0.023967294,0.2201693,1.1955651e-08,0.017639251,9.761937e-09,0.0030925176,3.0448046e-09,1.2050774e-07,8.510628e-06
