lambda,q_cr,P_cr_N
200.0,83.84178161621094,8464796.348776788
216.16161616161617,86.22750091552734,6895346.037220823
232.32323232323233,88.71219635009766,5714147.018668902
248.4848484848485,89.04545593261719,4687680.752921609
264.64646464646466,90.23665618896484,3932155.7010838487
280.80808080808083,90.42232513427734,3298320.6140260035
296.969696969697,90.2752914428711,2784059.3829879924
313.13131313131316,90.1627197265625,2371884.344263263
329.29292929292933,89.93205261230469,2034292.0043113693
345.4545454545455,90.25936126708984,1768338.9955605755
361.61616161616166,90.62306213378906,1547894.0802290756
377.7777777777778,91.38107299804688,1368967.169692129
393.93939393939394,93.66349029541016,1237451.2615656971
410.1010101010101,94.998046875,1112469.625965437
426.26262626262627,97.16714477539062,1013289.8091317225
442.42424242424244,100.4935302734375,937275.7007634694
458.5858585858586,103.21527862548828,864426.3903795782
474.74747474747477,102.95987701416016,777187.8951744377
490.90909090909093,105.4391098022461,719854.1442898792
507.0707070707071,107.13410186767578,663694.4228186514
523.2323232323233,106.92172241210938,602876.3583502932
539.3939393939395,104.91217803955078,539950.215326024
555.5555555555557,103.56674194335938,487847.2173755454
571.7171717171718,102.57662963867188,443354.08896795503
587.8787878787879,101.2712631225586,402595.4472149428
604.040404040404,98.80882263183594,362112.7019042271
620.2020202020202,93.60343933105469,316911.70474376593
636.3636363636364,77.62895965576172,243306.4959183345
652.5252525252525,74.47731018066406,216510.0277901538
668.6868686868687,74.8579330444336,202215.9692827519
684.8484848484849,75.07234954833984,188774.14550723782
701.010101010101,75.40158081054688,176788.34334476083
717.1717171717172,75.79198455810547,165958.62165173312
733.3333333333334,75.98455810546875,155620.59321635033
749.4949494949495,75.79141998291016,145398.49607648724
765.6565656565657,76.45613098144531,137580.3109159839
781.8181818181819,77.37432861328125,130775.26177033079
797.979797979798,78.41741180419922,124647.28309288147
814.1414141414142,79.54467010498047,119057.71579858266
830.3030303030304,80.96994018554688,114250.98481896281
846.4646464646465,81.3489761352539,108335.70698029402
862.6262626262627,82.71257781982422,104075.74554699399
878.7878787878789,83.33987426757812,99185.15343832815
894.949494949495,84.12150573730469,94788.89457098112
911.1111111111112,84.05231475830078,89759.75365920573
927.2727272727274,84.25711059570312,85355.2236756472
943.4343434343435,84.4084701538086,81188.96159217613
959.5959595959597,84.20043182373047,76965.32177043578
975.7575757575758,83.44084167480469,72543.56318895418
991.9191919191919,82.44866180419922,68233.98477446158
1008.0808080808081,82.2063217163086,64813.45589397842
1024.2424242424242,82.19451904296875,61784.64846358616
1040.4040404040404,81.92980194091797,58760.00408658162
1056.5656565656566,81.11823272705078,55548.84243490804
1072.7272727272727,80.23685455322266,52499.108830041245
1088.888888888889,80.30064392089844,50235.91671326638
1105.050505050505,78.40354919433594,46928.356338700905
1121.2121212121212,80.37255859375,46056.44832973719
1137.3737373737374,83.4897689819336,45832.091287045354
1153.5353535353536,84.72032928466797,44580.08680679028
1169.6969696969697,87.31128692626953,44065.256031170116
1185.858585858586,89.55332946777344,43373.955809843064
1202.020202020202,90.66967010498047,42167.00329345536
1218.1818181818182,90.8426742553711,40588.17962258698
1234.3434343434344,90.48058319091797,38859.15565743625
1250.5050505050506,89.74947357177734,37069.91261686877
1266.6666666666667,88.88880920410156,35326.94361799372
1282.828282828283,88.29288482666016,33780.50443636306
1298.989898989899,88.25595092773438,32521.65807016672
1315.1515151515152,87.97315979003906,31236.964559296866
1331.3131313131314,87.19850158691406,29847.941014918146
1347.4747474747476,86.65435791015625,28607.144276595518
1363.6363636363637,88.73777770996094,28265.64038741152
1379.79797979798,95.10173034667969,29240.709573530967
1395.959595959596,97.5225830078125,28955.605626434302
1412.1212121212122,98.98560333251953,28392.400123952226
1428.2828282828284,99.74313354492188,27649.44167503675
1444.4444444444446,100.29361724853516,26879.226638919426
1460.6060606060607,100.68280792236328,26097.68750566568
1476.767676767677,101.00231170654297,25330.32619199682
1492.929292929293,101.31692504882812,24592.93063390875
1509.0909090909092,101.63260650634766,23885.418652996184
1525.2525252525254,102.03302764892578,23225.30994007131
1541.4141414141416,102.54656982421875,22615.6525533462
1557.5757575757577,103.158935546875,22049.833655885668
1573.737373737374,103.83897399902344,21518.382090760468
1589.89898989899,104.56404113769531,21014.53389151353
1606.0606060606062,105.36131286621094,20541.936721026657
1622.2222222222224,106.27545166015625,20107.029864598455
1638.3838383838386,107.27091217041016,19700.670640668017
1654.5454545454547,108.07913970947266,19273.108809856552
1670.707070707071,108.7123794555664,18828.861995315467
1686.868686868687,109.29354858398438,18390.63394243424
1703.0303030303032,109.83828735351562,17961.08748177099
1719.1919191919194,110.3142318725586,17534.947281068136
1735.3535353535356,110.71605682373047,17111.68267230172
1751.5151515151515,111.06721496582031,16695.144757189206
1767.6767676767677,111.3920669555664,16288.897972091028
1783.8383838383838,111.70624542236328,15894.868658791585
1800.0,112.01678466796875,15513.564292385969
