lambda,q_cr,P_cr_N,N_p,q_cr_over_Np
200.0,102.05453491210938,9639124.950768411,245126.84085647512,0.0004163335787934525
216.16161616161617,104.66276550292967,7829819.650935549,194153.45302670752,0.0005390723876980565
232.32323232323236,102.02679443359376,6147968.118417513,156387.82185005135,0.0006523960320351522
248.4848484848485,89.00448608398438,4383363.111975291,127814.79200619762,0.0006963551298481057
264.64646464646466,85.12486267089844,3470191.3528691065,105799.24413922608,0.0008045885711515928
280.80808080808083,83.49725341796875,2849303.26075467,88562.94528605766,0.000942801226272153
296.969696969697,82.86492919921875,2390725.122790059,74876.3124196478,0.0011066908414880045
313.1313131313132,83.31904602050781,2050501.4474283296,63870.65316537121,0.0013044965393540229
329.29292929292933,83.4578857421875,1766100.6532281549,54920.39330771271,0.001519615587502851
345.4545454545455,83.3348159790039,1527386.8087589664,47567.258372936034,0.001751936496437185
361.61616161616166,82.94034576416016,1325310.4871220747,41470.31737028916,0.001999993031728801
377.7777777777778,82.33755493164062,1153942.1378430007,36372.372681532725,0.002263738900196789
393.93939393939394,81.60054016113281,1008556.1580939356,32076.91681332416,0.002543902228384913
410.1010101010101,80.91555786132812,886451.1440759344,28432.06073715029,0.002845926597068679
426.2626262626263,80.56733703613281,785999.9697925528,25319.14792180152,0.0031820714221886914
442.4242424242424,79.6366195678711,694850.4740554745,22644.571522219205,0.003516808409897728
458.5858585858586,78.01985931396484,611277.5939010631,20333.815580875755,0.00383695126001554
474.7474747474748,77.08349609375,544338.0620932118,18327.062678304177,0.004205992932244537
490.9090909090909,77.28223419189453,493596.116352115,16575.919584411342,0.00466231956533946
507.0707070707071,78.27672576904297,453651.5225470468,15040.95069104999,0.005204240568092613
523.2323232323233,77.47645568847656,408678.0745300665,13689.801775183267,0.005659428599537876
539.3939393939395,76.09144592285156,366364.1237011596,12495.759784982234,0.006089381296709982
555.5555555555557,74.68001556396484,329091.9084756117,11436.637886999695,0.006529892465062257
571.7171717171718,73.30270385742188,296395.4782003676,10493.905413451776,0.006985264395794693
587.8787878787879,71.99485778808594,267752.4153172293,9652.003817204135,0.00745905815533965
604.040404040404,70.7997817993164,242733.23290431508,8897.805066570972,0.007956994030506577
620.2020202020202,70.1981201171875,222341.86363664412,8220.179961860575,0.00853973032742445
636.3636363636364,70.55171203613281,206864.88760232436,7609.651899241244,0.009271345518862368
652.5252525252525,70.63645935058594,192102.15689018695,7058.117515544551,0.010007832711061933
668.6868686868687,70.84606170654297,179036.92810774595,6558.620023984127,0.010801976856025654
