L_m,q_cr,P_cr_N,N_p,q_cr_over_Np
0.5,151.7613067626953,2459032.172873204,22292.854042500247,0.006807621243711986
0.5252525252525253,146.8094482421875,2155563.7450606567,20200.837876344754,0.007267493018896104
0.5505050505050505,143.9156951904297,1923661.7370446615,18390.05660050037,0.007825734216963417
0.5757575757575758,143.7982940673828,1757185.350123922,16812.270119309393,0.008553175332474952
0.601010101010101,147.8692169189453,1658278.2051095527,15429.154895173006,0.00958375347992689
0.6262626262626263,152.4079132080078,1574119.463999548,14209.95463518112,0.01072543277729227
0.6515151515151515,154.2404327392578,1471947.6246436045,13129.755571813288,0.011747395592830247
0.6767676767676768,150.22357177734375,1328623.8055789445,12168.203523643622,0.01234558342860139
0.702020202020202,143.3699188232422,1178425.0924770422,11308.537988227572,0.012678024247917221
0.7272727272727273,140.3419189453125,1074820.5688549993,10536.856793525507,0.013319144569901265
0.7525252525252526,138.4697723388672,990503.4304347842,9841.550491894279,0.01406991433442464
0.7777777777777778,136.65724182128906,915091.9859863988,9212.86315021694,0.014833308559247527
0.803030303030303,135.0962677001953,848638.3329662159,8642.54825641964,0.015631531776504285
0.8282828282828283,133.727783203125,789600.6404702456,8123.59690922609,0.01646164681697197
0.8535353535353536,133.52008056640625,742414.9678644418,7650.02144429624,0.017453556377408218
0.8787878787878788,132.8721923828125,696962.0753801672,7216.681941820086,0.018411812167144145
0.904040404040404,132.19952392578125,655235.4288259235,6819.146171172714,0.0193865215097811
0.9292929292929292,132.03717041015625,619347.0956008623,6453.575805486324,0.020459536602624024
0.9545454545454546,129.8136444091797,577125.5172931314,6116.633422091903,0.021223054489471614
0.9797979797979798,127.32262420654295,537249.0595317528,5805.406059903947,0.0219317344717571
1.0050505050505052,124.72323608398438,500166.6843514885,5517.342048699398,0.022605674069706327
1.0303030303030305,122.21331787109376,466371.22032488784,5250.198540718589,0.02327784690869358
1.0555555555555556,119.6038818359375,434836.7545229693,5001.997721447424,0.02391122277467328
1.0808080808080809,116.85409545898438,405219.1245230922,4770.990096745238,0.024492630059890937
1.106060606060606,113.98470306396484,377426.0614973735,4555.623578960925,0.025020658772242806
1.1313131313131313,111.06517028808594,351524.3329341625,4354.517348344725,0.025505736090431455
1.1565656565656566,108.13507843017578,327468.2338615048,4166.4396649672,0.0259538327986389
1.1818181818181817,105.23697662353516,305218.0339006262,3990.2889632285955,0.02637327210969366
1.2070707070707072,102.41881561279295,284745.9069099236,3825.0776854492196,0.026775617133842557
1.2323232323232325,99.73809814453124,266044.9211510832,3669.918410214742,0.027177197691077595
1.2575757575757576,97.24543762207033,249082.9975379396,3524.0119106231336,0.027595093344867525
1.2828282828282829,95.0303955078125,233920.69529442495,3386.636841567129,0.028060403271299154
1.308080808080808,93.24381256103516,220746.60710298835,3257.1408069430236,0.028627504332104318
1.3333333333333337,92.25421142578124,210209.2824832257,3134.9325997265955,0.02942781335516653
1.3585858585858586,92.4367446899414,202868.03626830736,3019.475442165599,0.030613511008933666
1.383838383838384,92.08228302001952,194781.854019474,2910.281081444734,0.03164034003695191
1.4090909090909092,89.91221618652344,183435.690358542,2806.904619295036,0.032032515664570466
1.4343434343434345,86.64464569091797,170599.82945355048,2708.9399731023714,0.03198470492193651
1.4595959595959596,83.19571685791016,158189.9268857103,2616.0158818805444,0.03180245098439702
1.4848484848484849,80.5007095336914,147903.54725960828,2527.7923836196137,0.03184625052885882
1.5101010101010102,78.69049072265625,139782.69829175118,2443.957701485944,0.03219797571570566
1.5353535353535352,77.40011596679688,133005.00590204648,2364.2254855278843,0.03273804315222284
1.5606060606060606,76.16024780273438,126673.2555511142,2288.332364245713,0.03328198691444831
1.585858585858586,74.7750015258789,120439.98064599185,2216.035766872336,0.033742687118906343
1.6111111111111112,73.46049499511719,114642.5999944445,2147.111982690273,0.03421363002365306
1.6363636363636362,72.544677734375,109746.09548773272,2081.3544283507176,0.03485455275959895
1.6616161616161615,72.16835021972656,105883.55742722964,2018.5720981009501,0.03575217862548567
1.6868686868686869,72.11688232421875,102663.85137492685,1958.5881751814775,0.03682085046670753
1.7121212121212122,72.18502807617188,99751.92283063816,1901.2387855182683,0.037967365607100526
1.7373737373737377,72.2309799194336,96934.89946881468,1846.371877286243,0.03912049398499132
1.7626262626262623,72.22429656982422,94168.57736230924,1793.846212022438,0.04026225664484153
1.7878787878787878,72.3893051147461,91736.3436327374,1743.5304547746891,0.041518807381027784
1.8131313131313127,72.70520782470703,89588.06690642747,1695.3023523292418,0.042886277910730505
1.8383838383838385,72.72648620605469,87169.26425874722,1649.0479899056945,0.0441021041541755
1.8636363636363635,71.57330322265625,83477.96845057755,1604.6611178718206,0.04460337601847064
1.8888888888888888,70.46755981445312,80005.44976593896,1562.0425410402422,0.045112446020532354
1.914141414141414,68.77227020263672,76034.11293289137,1521.0995639862224,0.045212208214964446
1.9393939393939397,67.79888153076172,73018.62041875023,1481.745486589524,0.04575609114005926
1.9646464646464643,67.13957977294922,70461.67430653216,1443.8991446695766,0.04649880154081919
1.9898989898989896,66.56184387207031,68093.62318279101,1407.4844911653545,0.04729135154942924
2.015151515151515,66.06749725341797,65904.5815024012,1372.4302138211754,0.04813905770077022
2.0404040404040407,65.65980529785156,63886.69224717517,1338.669385786595,0.049048559707870074
2.0656565656565657,65.3023681640625,61994.88485264445,1306.1391459313663,0.04999648649034055
2.090909090909091,64.941162109375,60171.78795221655,1274.7804060219896,0.0509430187368716
2.116161616161616,64.54833984375,58388.93764543951,1244.5375822109977,0.051865319911895226
2.141414141414141,64.14547729492188,56664.083718110734,1215.3583485590125,0.05277906501483768
2.166666666666667,63.735450744628906,54997.129135590825,1187.1934105473501,0.05368581915834924
2.191919191919192,63.30644226074219,53375.50426306595,1159.9962967494791,0.054574693417675874
2.217171717171717,62.84600830078125,51787.172587825655,1133.723167016282,0.055433292825953766
2.242424242424242,62.36144256591797,50237.00676904484,1108.3326356958898,0.0562659986338515
2.267676767676768,61.87496566772461,48741.15671899106,1083.7856085562314,0.05709151808183867
2.292929292929293,61.39517211914063,47303.8030876945,1060.0451322097504,0.05791750771135319
2.3181818181818183,60.9288444519043,45927.32099320319,1037.0762549567587,0.05875059250531654
2.3434343434343434,60.483097076416016,44614.04519760557,1014.8458980684496,0.05959830669024051
2.3686868686868685,60.0505485534668,43355.56359791646,993.3227366239695,0.06045421728446696
2.3939393939393936,59.626197814941406,42145.76835756298,972.4770890996144,0.06131373014674043
2.419191919191919,59.200462341308594,40975.81631374884,952.2808149831327,0.06216702196437422
2.4444444444444446,58.77655792236328,39846.20533559686,932.7072197533677,0.06301715766487297
2.4696969696969697,58.3714485168457,38766.47341662293,913.730966625871,0.0638825328776955
2.494949494949495,57.97368621826172,37726.851305169126,895.3279945194355,0.06475133869725465
2.5202020202020203,57.522762298583984,36686.99871472648,877.4754417474022,0.06555484012638953
2.5454545454545454,56.92648696899414,35589.90701424054,860.1515749816741,0.0661819249359707
