h,q_cr,P_cr_N,N_p,q_cr_over_Np
0.0035,68.64605712890625,9530.360931396486,337.0765991104049,0.20365120957691327
0.0038888888888888,69.36811828613281,13210.709312379657,462.38216613221084,0.15002334295544198
0.0042777777777777,70.22196960449219,17799.888615866803,615.4306631219812,0.11410216261937191
0.0046666666666666,71.9065933227539,23663.483353226264,798.9963830764809,0.08999614371955288
0.0050555555555555,73.26289367675781,30653.519657230943,1015.8536189925034,0.07211953799939996
0.0054444444444444,73.02571105957031,38161.560380849325,1268.7766638668427,0.05755600109873578
0.0058333333333333,72.19761657714844,46404.795222812216,1560.5398106962919,0.046264514421413466
0.0062222222222222,71.84004211425781,56039.30608424783,1893.9173524776456,0.037931983684650124
0.0066111111111111,71.77424621582031,67155.50619373225,2271.683582207696,0.0315951775933811
0.0069999999999999,72.02025604248047,79990.49771118161,2696.6127928831233,0.026707674246949985
0.0073888888888888,72.45989227294922,94650.89165899227,3171.479277500937,0.02284734848718488
0.0077777777777777,71.35987854003906,108720.21732757664,3699.0573290578304,0.01929136863586129
0.0081666666666666,71.12991333007812,125451.65251084312,4282.121240550593,0.016610905981945593
0.0085555555555555,70.85570526123047,143684.22515655644,4923.445304976024,0.014391488251046088
0.0089444444444444,70.63729858398438,163675.55141491184,5625.8038153309135,0.012555947719237957
0.0093333333333333,70.46062469482422,185501.0777150848,6391.971064612051,0.011023301573581308
0.0097222222222222,70.33905029296875,209306.51611097885,7224.721345816241,0.009735884185166717
0.0101111111111111,70.25173950195312,235149.1151609765,8126.828951940268,0.008644422063931914
0.0104999999999999,70.18688201904297,263095.52724838245,9101.068175980672,0.007711938935286581
0.0108888888888888,70.04621124267578,292836.3373394945,10150.213310934741,0.006900959526359468
0.0112777777777777,69.78218078613281,324119.1967973853,11277.038649799033,0.0061879880838553655
0.0116666666666666,69.55854797363281,357668.3361854082,12484.318485570335,0.0055716736203125705
0.0120555555555555,69.42005157470703,393854.8848040528,13774.827111245446,0.005039631424341735
0.0124444444444444,69.2208251953125,431969.3470507543,15151.338819821165,0.004568627632084696
0.0128333333333333,68.84699249267578,471186.6917126972,16616.627904294273,0.004143258962601161
0.0132222222222222,68.39115905761719,511920.9909225624,18173.468657661568,0.0037632419185307728
0.0136111111111111,68.37852478027344,558328.8672180768,19824.63537291985,0.003449169353887712
0.0139999999999999,68.59541320800781,609493.1114908853,21572.902343065445,0.0031797025785942814
0.0143888888888888,69.10746002197266,666647.6094391068,23421.043861096052,0.002950656701376357
0.0147777777777777,69.89569854736328,730411.2642856732,25371.83422000802,0.0027548539826199917
0.0151666666666666,70.82432556152344,800096.7224349972,27428.047712798136,0.00258218617318783
0.0155555555555555,71.80375671386719,875171.8971032664,29592.458632463204,0.002426420785297569
0.0159444444444444,73.2619400024414,961603.881352214,31867.841272000023,0.0022989301150690552
0.0163333333333333,75.85567474365234,1070291.729979338,34256.96992440538,0.002214313610078257
0.0167222222222222,81.02411651611328,1226834.2550819002,36762.61888267606,0.0022039810812905635
0.0171111111111111,93.68497467041016,1519827.141055344,39387.562439808884,0.0023785420794591506
0.0174999999999999,96.59947967529295,1676403.4701983128,42134.57488879989,0.0022926416115561852
0.0178888888888888,93.4229965209961,1731783.1544451928,45006.43052264731,0.002075769960783393
