lambda,q_cr,P_cr_N,N_p,q_cr_over_Np
200.0,97.49153900146484,9895533.591475036,245126.84085647512,0.00039771874292031275
216.16161616161617,102.71592712402344,8257799.470412357,194153.45302670752,0.0005290450698803382
232.32323232323236,100.90080261230467,6533997.662093835,156387.82185005135,0.0006451960352069547
248.4848484848485,99.22860717773438,5251694.277214939,127814.79200619762,0.0007763468188636795
264.64646464646466,97.69512176513672,4279931.976151222,105799.24413922608,0.0009234009426057451
280.80808080808083,102.41458892822266,3755738.1044669272,88562.94528605766,0.001156404505263734
296.969696969697,98.32473754882812,3048517.3185572904,74876.3124196478,0.0013131621252628271
313.1313131313132,96.82698059082033,2560820.688091611,63870.65316537121,0.00151598544546147
329.29292929292933,95.48033905029295,2171345.906407509,54920.39330771271,0.0017385224922794615
345.4545454545455,93.7668685913086,1846881.1829548276,47567.258372936034,0.001971248118951047
361.61616161616166,93.80547332763672,1610819.80721994,41470.31737028916,0.002261990726765992
377.7777777777778,110.35406494140624,1662039.689755462,36372.372681532725,0.0030340078693143957
393.93939393939394,77.55007934570312,1030045.2112424108,32076.91681332416,0.00241762884497335
410.1010101010101,72.71856689453125,856120.847328621,28432.06073715029,0.002557625617319912
426.2626262626263,71.20053100585938,746472.3774090598,25319.14792180152,0.0028121219254993507
442.4242424242424,70.12561798095703,657540.0827172803,22644.571522219205,0.0030967959765610354
458.5858585858586,69.28287506103516,583345.9739726384,20333.815580875755,0.003407273700573772
474.7474747474748,68.7419204711914,521670.1044963888,18327.062678304177,0.003750842220481355
490.9090909090909,68.71353149414062,471629.8927063252,16575.919584411342,0.0041453827731380635
507.0707070707071,69.16956329345703,430796.0814498021,15040.95069104999,0.004598749421777966
523.2323232323233,69.44385528564453,393651.94909691694,13689.801775183267,0.005072670621975816
539.3939393939395,69.65656280517578,360417.7169510106,12495.759784982234,0.005574415962196317
555.5555555555557,69.79927825927734,330545.10141581495,11436.637886999695,0.006103129166887402
571.7171717171718,69.94879913330078,303947.6790232181,10493.905413451776,0.006665659387746704
587.8787878787879,70.07969665527344,280085.81942068145,9652.003817204135,0.007260637063814713
604.040404040404,70.13411712646484,258400.6753019744,8897.805066570972,0.007882181796717317
620.2020202020202,70.1777572631836,238870.34317349884,8220.179961860575,0.008537253148810552
636.3636363636364,70.20817565917969,221224.84615708303,7609.651899241244,0.00922620069732495
652.5252525252525,70.26200103759766,205348.1630318513,7058.117515544551,0.009954779143710074
668.6868686868687,70.34626007080078,191044.6617471096,6558.620023984127,0.010725771551569159
684.8484848484849,70.44940185546875,178096.78944068743,6105.164318630605,0.011539312978110085
701.010101010101,70.56594848632812,166335.37970333477,5692.56538422602,0.012396159503387506
717.1717171717172,70.68477630615234,155603.26437749367,5316.323411265859,0.013295800657342201
733.3333333333334,70.78780364990234,145752.64255709693,4972.520438110315,0.014235799436312327
749.4949494949495,70.8637924194336,136672.31065560048,4657.734433917652,0.015214219149851698
765.6565656565657,70.89796447753906,128260.81983739464,4368.967580147307,0.016227624301837603
781.8181818181819,70.94091796875,120542.94118468292,4103.586164488261,0.017287541951150114
