lambda,q_cr,P_cr_N,N_p,q_cr_over_Np
797.979797979798,71.04550170898438,113533.27704731422,3859.270014034539,0.018409051828615727
814.1414141414142,71.23506927490234,107190.57177373256,3633.9697977566716,0.01960254851839366
830.3030303030304,71.63516235351562,101619.87558387006,3425.8708469273347,0.020910059238737864
846.4646464646465,71.92952728271484,96303.70867726652,3233.362395157906,0.02224604559960006
862.6262626262627,71.81278991699219,90843.958293904,3055.0113415588016,0.02350655427693114
878.7878787878789,71.69586181640625,85783.58532869391,2889.5398023237176,0.02481220772897805
894.949494949495,71.65020751953125,81167.86990317497,2735.8058462789813,0.02618979984160206
911.1111111111112,71.61004638671875,76881.56307866442,2592.7869152271483,0.027618947768580957
927.2727272727274,71.56246948242188,72882.81480770539,2459.5655153746925,0.029095573602364474
943.4343434343436,71.52111053466797,69161.03478776578,2335.316835771483,0.03062587030553421
959.5959595959596,71.46743774414062,65675.78283157913,2219.2980066477044,0.032202722451003175
975.7575757575758,71.4625244140625,62461.84903051275,2110.838757289324,0.033855037087642134
991.919191919192,71.47738647460938,59470.56479372516,2009.333271608046,0.035572688455711904
1008.080808080808,71.5165786743164,56686.93396949728,1914.2330713949536,0.03736043418276142
1024.2424242424242,71.5997085571289,54108.46971958783,1825.0407836438417,0.03923184029574084
1040.4040404040404,71.70301055908203,51700.36133641256,1741.304670287799,0.0411777512474202
1056.5656565656566,71.80762481689453,49436.005304445,1662.6138170129038,0.04318959946207233
1072.7272727272727,71.91632843017578,47306.60905082978,1588.593893143741,0.04527042986918278
1088.888888888889,72.06008911132812,45321.71904936317,1518.9034074609247,0.04744218016587862
1105.050505050505,72.26788330078125,43487.17845195357,1453.2303956373557,0.04972913002489609
1121.2121212121212,72.51884460449219,41778.20742082804,1391.2894841149225,0.05212347640981812
1137.3737373737374,72.78404235839844,40168.80044512233,1332.8192829711418,0.05460908563398565
1153.5353535353536,73.0422134399414,38640.56567787237,1277.5800668789616,0.057172317675852916
1169.6969696969695,73.27770233154297,37180.39737453863,1225.3517088345734,0.05980136299090574
1185.858585858586,73.4753189086914,35777.093089161164,1175.9318360759878,0.062482634328426746
1202.020202020202,73.61160278320312,34417.0190123705,1129.134181670439,0.06519296287204968
1218.1818181818182,73.66219329833984,33088.00513081237,1084.7871087200497,0.06790474619969862
1234.3434343434344,73.61795806884766,31786.156078169868,1042.7322871133465,0.0706010152161379
1250.5050505050506,73.47736358642578,30511.21435785095,1002.8235053104318,0.07327048398579399
1266.6666666666667,73.25517272949219,29269.381761287877,964.9256018552013,0.07591794910265529
1282.828282828283,72.96316528320312,28064.697493285632,928.9135032118386,0.07854678076152789
1298.989898989899,72.65269470214844,26915.1424816911,894.6713561693307,0.0812060140309195
1315.1515151515152,72.37409973144531,25835.572150607462,862.0917444845487,0.08395173738117437
1331.3131313131314,72.11862182617188,24818.129709698776,831.074980672961,0.08677751527037186
1347.4747474747476,71.86395263671875,23851.2680752806,801.5284649332251,0.08965864068558775
1363.6363636363635,71.61053466796875,22932.08130092791,773.3661041302956,0.09259590546510933
1379.79797979798,71.3560791015625,22057.01518576437,746.5077845806126,0.09558651708052888
1395.959595959596,71.0810775756836,21217.672215330964,720.8788930988079,0.09860335523229254
1412.1212121212122,70.7767562866211,20409.717932110656,696.4098813921349,0.10163089033880045
1428.2828282828284,70.50942993164062,19650.19375679946,673.0358694385022,0.104763257254721
1444.4444444444446,70.30986022949219,18944.187529323648,650.6962839667557,0.10805326841713506
1460.6060606060607,70.15167999267578,18281.04674131732,629.3345285825358,0.1114696187903117
1476.767676767677,70.03071594238281,17656.894022938774,608.897682457143,0.11501228853389814
1492.929292929293,69.926025390625,17064.100621588692,589.3362248269098,0.11865217586304411
1509.0909090909092,69.83336639404297,16499.813970087373,570.6037828421566,0.12238503931082531
1525.2525252525254,69.7405014038086,15959.603058238312,552.6569005627949,0.1261913156839058
1541.4141414141416,69.65404510498047,15443.673231124005,535.4548271261557,0.13008388677495225
1557.5757575757575,69.56903076171875,14949.638588919695,518.9593223153654,0.13405488208850883
1573.737373737374,69.48292541503906,14475.834094064605,503.1344779366286,0.1381001073510026
1589.89898989899,69.40206909179688,14022.520907603075,487.94655357392713,0.14223293224117833
1606.0606060606062,69.31726837158203,13586.82334820736,473.3638254322236,0.14643549981515624
1622.2222222222224,69.23646545410156,13169.404219116435,459.3564471073765,0.1507249237277326
1638.3838383838386,69.15880584716797,12769.173799237627,445.896321234444,0.15510064235494234
1654.5454545454547,69.0794906616211,12384.409288823032,432.9569810674352,0.15955278164428446
1670.707070707071,69.00702667236328,12015.854519985542,420.5134811342849,0.16410181782097702
1686.868686868687,68.93671417236328,11661.892337482534,408.54229619206313,0.16873825504704876
1703.0303030303032,68.86522674560547,11321.269606676186,397.02122778027774,0.1734547725083288
1719.1919191919194,68.79962921142578,10994.495158720349,385.92931773550276,0.17827002523445942
1735.3535353535356,68.7373046875,10680.482730927904,375.2467680893169,0.18317893858885687
1751.5151515151515,68.67388153076172,10377.964421530236,364.95486682437434,0.18817088843977345
1767.6767676767677,68.61505889892578,10087.258639615931,355.0359190109995,0.19326230171319647
1783.8383838383838,68.56138610839844,9807.884738179917,345.4731828895807,0.19845646349433688
1800.0,68.50712585449219,9538.50936403593,336.2508105027094,0.20373817315732592
