L,q_cr,P_cr_N,N_p,q_cr_over_Np
0.5,151.10752868652344,1387448.6637399415,22292.854042500247,0.006778294443521868
0.5252525252525253,146.43496704101562,1218370.3582244448,20200.837876344754,0.007248955114505
0.5505050505050505,144.13645935058594,1091747.14029206,18390.05660050037,0.007837738756424717
0.5757575757575758,146.05946350097656,1011395.9441086662,16812.270119309393,0.008687670520664721
0.601010101010101,151.8329315185547,964879.9096080333,15429.154895173006,0.009840651192506692
0.6262626262626263,155.9976806640625,913010.9378087368,14209.95463518112,0.010978056205601262
0.6515151515151515,153.72691345214844,831326.6369001671,13129.755571813288,0.011708284484912002
0.6767676767676768,147.42564392089844,738864.2367566788,12168.203523643622,0.012115645800502981
0.702020202020202,142.2897186279297,662742.9695042715,11308.537988227572,0.012582503483302289
0.7272727272727273,140.86683654785156,611343.060574987,10536.856793525507,0.013368961855342745
0.7525252525252526,139.44578552246094,565241.5329771149,9841.550491894279,0.014169087039416361
0.7777777777777778,138.5050048828125,525563.5464483928,9212.86315021694,0.015033871948868693
0.803030303030303,137.56101989746094,489668.7036836286,8642.54825641964,0.015916719909001526
0.8282828282828283,137.00424194335938,458403.0802739264,8123.59690922609,0.0168649729269262
0.8535353535353536,136.2379913330078,429265.54567218845,7650.02144429624,0.0178088378346423
0.8787878787878788,135.18963623046875,401833.47413417866,7216.681941820086,0.018732935346236584
0.904040404040404,133.7690887451172,375708.40943548735,6819.146171172714,0.019616691795024597
0.9292929292929292,133.4702911376953,354772.68192532344,6453.575805486324,0.020681602751799918
0.9545454545454546,132.4559326171875,333694.474780536,6116.633422091903,0.02165503856071977
0.9797979797979798,130.64410400390625,312383.12426059885,5805.406059903947,0.02250387012653992
1.0050505050505052,128.29672241210938,291548.37027050613,5517.342048699398,0.023253356648851004
1.0303030303030305,125.58263397216795,271562.9152143133,5250.198540718589,0.023919597134888462
1.0555555555555556,122.72505950927734,252837.7334303489,5001.997721447424,0.02453520899920852
1.0808080808080809,119.77816772460938,235370.119526392,4770.990096745238,0.025105515898329336
1.106060606060606,116.76061248779295,219083.33537161848,4555.623578960925,0.025629995644728933
1.1313131313131313,113.6774673461914,203882.31767369423,4354.517348344725,0.026105641165812193
1.1565656565656566,110.54356384277344,189698.4168356025,4166.4396649672,0.02653190079104234
1.1818181818181817,107.42144012451172,176547.04987225385,3990.2889632285955,0.02692071704942281
1.2070707070707072,104.41742706298828,164504.7320006757,3825.0776854492196,0.027298119319300942
1.2323232323232325,101.6193389892578,153602.3719588639,3669.918410214742,0.027689808772427625
1.2575757575757576,99.10311889648438,143843.3661270218,3524.0119106231336,0.028122242889627596
1.2828282828282829,96.92491912841795,135197.67508638697,3386.636841567129,0.02861981477871333
1.308080808080808,95.19023895263672,127700.94119083996,3257.1408069430236,0.02922509175830723
1.3333333333333337,94.3106460571289,121773.86081375522,3134.9325997265955,0.030083787468143317
1.3585858585858586,94.19133758544922,117140.64567800172,3019.475442165599,0.031194602966498782
1.383838383838384,92.88958740234376,111344.0764856582,2910.281081444734,0.031917737429070295
1.4090909090909092,90.42982482910156,104545.29497451754,2806.904619295036,0.03221692116200704
1.4343434343434345,87.64549255371094,97789.9254930524,2708.9399731023714,0.032354165623439894
