E_GPa,q_cr,P_cr_N,N_p,q_cr_over_Np
60.0,71.47836303710938,27013.049744072458,917.558732670221,0.07790058607921216
61.51515151515152,71.48323822021484,27697.08641635029,940.7294077376511,0.07598703477562589
63.03030303030303,71.48800659179688,28381.173735599645,963.9000828050808,0.07416537031904491
64.54545454545455,71.49272918701172,29065.33345759265,987.0707578725104,0.0724291836393817
66.06060606060606,71.49736022949219,29749.545224518453,1010.2414329399406,0.07077254792592014
67.57575757575758,71.50193786621094,30433.822651937237,1033.41210800737,0.06919014913041932
69.0909090909091,71.50643920898438,31118.15425035489,1056.5827830748,0.06767708158265733
70.60606060606061,71.5108413696289,31802.527656551512,1079.7534581422299,0.06622886069998507
72.12121212121212,71.51522827148438,32486.978154486857,1102.9241332096599,0.06484147559938261
73.63636363636364,71.51948547363281,33171.45222845639,1126.0948082770897,0.06351106935929905
75.15151515151516,71.5236587524414,33855.96783352504,1149.2654833445192,0.062234235508664026
76.66666666666667,71.52781677246094,34540.55572484059,1172.4361584119492,0.06100785638455957
78.18181818181819,71.53185272216797,35225.16286724767,1195.6068334793792,0.05982890923599065
79.69696969696969,71.53583526611328,35909.82023432547,1218.7775085468086,0.058694745156076915
81.21212121212122,71.53970336914062,36594.49507591905,1241.9481836142386,0.05760280848509342
82.72727272727272,71.54350280761719,37279.20796827068,1265.1188586816681,0.05655081521918812
84.24242424242425,71.54724884033203,37963.96504202305,1288.2895337490986,0.05553662198288591
85.75757575757575,71.55087280273438,38648.72767849622,1311.460208816528,0.05455817288372207
87.27272727272728,71.55443572998047,39333.5259338574,1334.6308838839582,0.05361365197974985
88.78787878787878,71.55792999267578,40018.35379396068,1357.8015589513875,0.05270131671371702
90.30303030303033,71.56133270263672,40703.19627440884,1380.9722340188182,0.05181953042921323
91.8181818181818,71.56466674804688,41388.06399097016,1404.142909086247,0.05096679710088622
93.33333333333334,71.56812286376953,42073.06710590449,1427.3135841536775,0.05014183544410508
94.84848484848484,71.5715560913086,42758.12251332722,1450.484259221107,0.04934321461009282
96.36363636363636,71.57489776611328,43443.187881223945,1473.6549342885369,0.048569645512481385
97.87878787878788,71.57817840576172,44128.27940264593,1496.8256093559667,0.04781998514613829
99.3939393939394,71.58137512207031,44813.38100103869,1519.9962844233967,0.04709312506591052
100.9090909090909,71.58451080322266,45498.504821190654,1543.1669594908262,0.04638805306383843
102.42424242424242,71.58753204345703,46183.61466172999,1566.337634558256,0.045703768117431716
103.93939393939394,71.59053039550781,46868.76718377412,1589.508309625686,0.045039418769925586
105.45454545454544,71.5934829711914,47553.94652919992,1612.6789846931156,0.04439413153561698
106.96969696969695,71.5963363647461,48239.11540447837,1635.8496597605458,0.04376706376258702
108.48484848484848,71.59913635253906,48924.30224938384,1659.0203348279754,0.0431574796579954
