parameter,label,range,P_cr_min_N,P_cr_max_N,sensitivity_pct,trend
h,Section height h (mm),"[0.0035, 0.042]",9530.360931396486,18507437.53098439,99.94850523787834,↑
L,Span L (m),"[0.5, 3]",12071.603035894615,1387448.6637399415,99.12994236461651,↓
E,Young's modulus E (GPa),"[60, 210]",27133.989557094123,95512.88697914619,71.59127902497687,↑
f_L,Rise-to-span ratio f/L,"[0.3333, 0.07692]",51384.38487107787,154222.34317163634,66.68162095430486,↓
K_trans,"Translational spring coefficient KX, KY","[0.1, 10]",46354.26973858978,80704.9336183141,42.56327629507995,↓
K_rot,Rotational spring coefficient KZ,"[0.1, 1000]",48389.24483066027,62802.28119053653,22.949861193971866,↓
b_h,Width-to-height ratio b/h,"[3, 20]",53753.32814227704,58334.58972177822,7.853422131450712,↑
