f_L,q_cr,P_cr_N,N_p,q_cr_over_Np
0.3333333333333333,109.8590316772461,82343.72286736457,1819.8248197959385,0.0603679159016882
0.3224755700325732,105.39604949951172,78998.53984513463,1819.8248197959385,0.05791549183911561
0.3123028391167192,102.06842041015624,76504.34921414238,1819.8248197959385,0.056086948205048344
0.3027522935779816,102.80152130126952,77053.83755105945,1819.8248197959385,0.05648978966711582
0.2937685459940652,102.45280456542967,76792.46045882757,1819.8248197959385,0.056298168620932405
0.2853025936599423,102.26399230957033,76650.93814761585,1819.8248197959385,0.05619441563668608
0.2773109243697479,102.56658935546876,76877.74669405514,1819.8248197959385,0.05636069375456139
0.2697547683923705,105.60047149658205,79151.76227953768,1819.8248197959385,0.05802782242986624
0.2625994694960212,103.10179138183594,77278.90194423708,1819.8248197959385,0.056654789109534726
0.2558139534883721,98.3025894165039,73681.70879057066,1819.8248197959385,0.05401761111683641
0.2493702770780856,132.13507080078125,99040.50204124168,1819.8248197959385,0.07260867604586131
0.2432432432432432,205.7560272216797,154222.34317163634,1819.8248197959385,0.11306364490882788
0.237410071942446,157.71630859375,118214.65935237572,1819.8248197959385,0.08666565423117766
0.2318501170960187,144.676513671875,108440.81333442892,1819.8248197959385,0.07950024205522042
0.2265446224256292,135.74142456054688,101743.6079217692,1819.8248197959385,0.07459037984533473
0.221476510067114,96.94685363769533,72665.53078911548,1819.8248197959385,0.0532726296416631
0.2166301969365426,82.44071197509766,61792.59944516413,1819.8248197959385,0.04530145488637854
0.2119914346895074,82.51569366455078,61848.8012099366,1819.8248197959385,0.04534265758272462
0.2075471698113207,78.2671890258789,58664.37765161419,1819.8248197959385,0.04300808966582575
0.2032854209445585,79.58482360839844,59651.9972878604,1819.8248197959385,0.04373213440254237
0.1991951710261569,79.88920593261719,59880.14397155618,1819.8248197959385,0.04389939353699735
0.1952662721893491,77.93143463134766,58412.71635083006,1819.8248197959385,0.042823591470791296
0.1914893617021276,75.4889907836914,56582.00733910879,1819.8248197959385,0.04148146017271936
0.1878557874762808,73.27560424804688,54922.98591222306,1819.8248197959385,0.04026519665572176
0.1843575418994413,72.82587432861328,54585.89541282926,1819.8248197959385,0.04001806851759469
0.1809872029250457,72.25037384033203,54154.53485927653,1819.8248197959385,0.03970182901914353
0.1777378815080789,71.66934967041016,53719.034086178086,1819.8248197959385,0.03938255423862535
0.1746031746031746,70.87013244628906,53119.98892248871,1819.8248197959385,0.038943381624081765
0.1715771230502599,70.02862548828125,52489.24591771939,1819.8248197959385,0.038480970655259954
0.1686541737649063,69.38880157470703,52009.67239318613,1819.8248197959385,0.0381293852132909
0.1658291457286432,68.87189483642578,51622.23019061554,1819.8248197959385,0.037845343182069884
0.1630971993410214,68.80398559570312,51571.329508051465,1819.8248197959385,0.03780802682063556
0.1604538087520259,68.77313995361328,51548.20946989772,1819.8248197959385,0.03779107703417573
0.1578947368421052,68.67523193359375,51474.82350659644,1819.8248197959385,0.037737276240300134
0.1554160125588697,68.60675048828125,51423.49393388605,1819.8248197959385,0.0376996454504749
0.1530139103554868,68.56365966796875,51391.19564660127,1819.8248197959385,0.037675966896449385
0.1506849315068493,68.55457305908203,51384.38487107787,1819.8248197959385,0.03767097377360158
0.1484257871064467,68.5823745727539,51405.22321365325,1819.8248197959385,0.037686250801021726
0.1462333825701625,68.64602661132812,51452.932953528776,1819.8248197959385,0.03772122781522761
