lambda,h_m,q_cr,P_cr_N,N_p,q_cr_over_Np
200.0,0.0314742554933413,97.31182861328124,9824753.191781258,245126.84085647512,0.0003969856106874014
216.16161616161617,0.0291210401293531,102.37960052490234,8186979.389130298,194153.45302670752,0.0005273127978353242
232.32323232323236,0.0270952286420938,101.93402099609376,6565793.725555992,156387.82185005135,0.0006518028052966344
248.4848484848485,0.0253329373482991,100.95671844482422,5314733.480505173,127814.79200619762,0.0007898672513579565
264.64646464646466,0.0237858877392426,101.53880310058594,4424658.452071789,105799.24413922608,0.0009597308934170301
280.80808080808083,0.0224169157830272,103.91114044189452,3790349.961002372,88562.94528605766,0.0011733026731017393
296.969696969697,0.0211969475771482,99.31477355957033,3062833.946903687,74876.3124196478,0.0013263844111734032
313.1313131313132,0.0201029115731663,96.82671356201172,2547192.08449675,63870.65316537121,0.0015159812646868048
329.29292929292933,0.0191162656063852,95.51417541503906,2160561.420552104,54920.39330771271,0.0017391385906485415
345.4545454545455,0.0182219373908818,94.44307708740234,1850305.3171425543,47567.258372936034,0.0019854639581485083
361.61616161616166,0.0174075491276021,106.07215118408205,1811773.4164909224,41470.31737028916,0.0025577848907439513
377.7777777777778,0.0166628411435336,79.77235412597656,1195058.5637120986,36372.372681532725,0.0021932128218426408
393.93939393939394,0.0159792374043117,73.4388198852539,970249.5607229868,32076.91681332416,0.0022894600597881893
410.1010101010101,0.0153495137627625,71.27144622802734,834620.5183737819,28432.06073715029,0.002506728122415048
426.2626262626263,0.0147675416769705,69.87305450439453,728658.3775397731,25319.14792180152,0.00275969217922334
442.4242424242424,0.0142280880997296,68.85675048828125,642208.099273609,22644.571522219205,0.0030407619071404347
458.5858585858586,0.013726657682118,68.4135513305664,572962.4530134794,20333.815580875755,0.0033645210884527908
474.7474747474748,0.0132593672078331,68.3841323852539,516194.4774323709,18327.062678304177,0.003731319829347665
490.9090909090909,0.0128228448306205,68.86016082763672,470122.2557854519,16575.919584411342,0.004154228697658233
507.0707070707071,0.012414148581039,69.24114990234375,428948.0587282653,15040.95069104999,0.00460350886886061
523.2323232323233,0.0120306999762192,69.42992401123047,391479.4749292931,13689.801775183267,0.005071652983105448
539.3939393939395,0.0116702295649467,69.5572738647461,357989.5652018787,12495.759784982234,0.00556647015160631
555.5555555555557,0.0113307319776028,69.74433898925781,328528.0686169911,11436.637886999695,0.006098325371352179
571.7171717171718,0.0110104286001441,69.97673034667969,302451.63680160587,10493.905413451776,0.006668321048232332
587.8787878787879,0.0107077364049511,70.1231689453125,278768.8006567229,9652.003817204135,0.007265141029090978
604.040404040404,0.0104212417854207,70.2048110961914,257285.2621414276,8897.805066570972,0.007890126898818078
620.2020202020202,0.010149678481566,70.24510192871094,237827.74608733543,8220.179961860575,0.008545445751142838
636.3636363636364,0.0098919088693358,70.30035400390625,220337.0091568574,7609.651899241244,0.009238314043105688
652.5252525252525,0.0096469080304668,70.35694122314453,204531.86698743125,7058.117515544551,0.009968230348700325
668.6868686868687,0.0094137501324495,70.42884063720703,190251.52974047157,6558.620023984127,0.010738362701247636
684.8484848484849,0.0091915967369934,70.52262878417969,177333.5864369794,6105.164318630605,0.011551307238196988
701.010101010101,0.0089796867257659,70.62036895751953,165578.20008793927,5692.56538422602,0.012405719423655124
717.1717171717172,0.0087773275882839,70.7312240600586,154877.28050910198,5316.323411265859,0.013304537476063166
733.3333333333334,0.0085838878618203,70.83646392822266,145077.01054940035,4972.520438110315,0.014245585274083324
749.4949494949495,0.008398790549436,70.96363830566406,136136.86467526158,4657.734433917652,0.01523565572758
765.6565656565657,0.0082215073716115,71.09333801269531,127930.14009845017,4368.967580147307,0.016272342769432565
781.8181818181819,0.0080515537308547,71.19686126708984,120334.33228177192,4103.586164488261,0.017349912591872792
797.979797979798,0.0078884842882045,71.2862777709961,113312.09028099178,3859.270014034539,0.018471440845485788
814.1414141414142,0.0077318890666024,71.4012451171875,106869.12319339409,3633.9697977566716,0.0196482769783241
830.3030303030304,0.0075813900093449,71.7710952758789,101271.14208080468,3425.8708469273347,0.02094973759453029
846.4646464646465,0.0074366379327942,72.35951232910156,96364.0760750191,3233.362395157906,0.02237902947020814
862.6262626262627,0.0072973098216411,72.4627685546875,91178.59532992126,3055.0113415588016,0.023719312451951094
878.7878787878789,0.0071631064226225,72.22000885009766,85951.0855045896,2889.5398023237176,0.024993602369491358
894.949494949495,0.0070337500989634,72.0606460571289,81198.6057781285,2735.8058462789813,0.02633982457312893
911.1111111111112,0.0069089829131724,71.93675994873047,76821.51134810699,2592.7869152271483,0.027744956412057584
927.2727272727274,0.0067885649103285,71.85148620605469,72787.91823248491,2459.5655153746925,0.029213080829484945
943.4343434343436,0.0066722725778175,71.80042266845703,69061.81035752775,2335.316835771483,0.030745473834062186
959.5959595959596,0.0065598974607174,71.75779724121094,65591.84833837116,2219.2980066477044,0.03233355638867201
975.7575757575758,0.0064512449147842,71.76163482666016,62389.647396886256,2110.838757289324,0.0339967392482476
991.919191919192,0.0063461329813458,71.79133605957031,59414.05020326823,2009.333271608046,0.03572893410664352
1008.080808080808,0.0062443913704224,71.82905578613281,56631.76799427398,1914.2330713949536,0.037523672983974216
1024.2424242424242,0.0061458605401199,71.8828125,54033.46053481531,1825.0407836438417,0.03938696227734711
1040.4040404040404,0.0060503908618267,71.94449615478516,51598.54885418591,1741.304670287799,0.041316432088184966
1056.5656565656566,0.0059578418620282,72.02557373046875,49322.29305216918,1662.6138170129038,0.04332068757847316
1072.7272727272727,0.0058680815326568,72.14237213134766,47202.87537279634,1588.593893143741,0.04541272155376464
1088.888888888889,0.0057809857028586,72.2901382446289,45224.56093409442,1518.9034074609247,0.04759363754767838
1105.050505050505,0.005696437465888,72.45751953125,43369.36696006777,1453.2303956373557,0.049859622912354296
1121.2121212121212,0.0056143266555689,72.63473510742188,41622.389319820206,1391.2894841149225,0.052206773598687056
1137.3737373737374,0.0055345493673903,72.81706237792969,39973.26008749554,1332.8192829711418,0.05463386020016513
1153.5353535353536,0.0054570075198612,72.9973373413086,38411.41391702564,1277.5800668789616,0.05713719181580217
1169.6969696969695,0.0053816084522293,73.15906524658203,36922.75139426188,1225.3517088345734,0.059704544188511635
1185.858585858586,0.005308264555095,73.28760528564453,35495.87013638255,1175.9318360759878,0.06232300464812719
1202.020202020202,0.0052368929308248,73.37298583984375,34122.97554382958,1129.134181670439,0.064981635514121
1218.1818181818182,0.0051674150809963,73.38993835449219,32790.36009055616,1084.7871087200497,0.06765377073948238
1234.3434343434344,0.0050997566183973,73.33926391601562,31497.386199432774,1042.7322871133465,0.07033374224849676
1250.5050505050506,0.0050338470013583,73.21421813964844,30240.22939341892,1002.8235053104318,0.07300807943964617
1266.6666666666667,0.0049696192884223,73.02896881103516,29023.79148475102,964.9256018552013,0.07568352282354929
1282.828282828283,0.0049070099115602,72.8551025390625,27874.07070642412,928.9135032118386,0.07843044835407878
1298.989898989899,0.0048459584663153,72.6700210571289,26778.35944124512,894.6713561693307,0.08122538019801648
1315.1515151515152,0.0047864075174205,72.455810546875,25727.160324462155,862.0917444845487,0.08404651942258987
1331.3131313131314,0.0047283024185747,72.20598602294922,24716.0211759926,831.074980672961,0.08688263718934312
1347.4747474747476,0.0046715911451885,71.93077850341797,23746.45901488976,801.5284649332251,0.08974201372799714
1363.6363636363635,0.0046162241390233,71.63741302490234,22818.66198480497,773.3661041302956,0.09263066048836421
1379.79797979798,0.0045621541637493,71.30974578857422,21925.442983686167,746.5077845806126,0.09552445032925674
1395.959595959596,0.0045093361705365,70.99990844726562,21080.71059138448,720.8788930988079,0.09849075777772004
1412.1212121212122,0.0044577271728766,70.7498779296875,20293.44445325547,696.4098813921349,0.10159229473920921
1428.2828282828284,0.0044072861299021,70.56080627441406,19559.911828409837,673.0358694385022,0.10483959247711605
1444.4444444444446,0.0043579738375395,70.41942596435547,18872.78335557454,650.6962839667557,0.10822165071401149
1460.6060606060607,0.004309752826889,70.2944107055664,18220.802556513878,629.3345285825358,0.11169641504319186
1476.767676767677,0.004262587269276,70.1893310546875,17602.752063526408,608.897682457143,0.1152727840438574
1492.929292929293,0.0042164428874706,70.0843734741211,17011.769105106196,589.3362248269098,0.11892086473168205
1509.0909090909092,0.0041712868726114,69.98430633544922,16447.521257435572,570.6037828421566,0.1226495660208559
1525.2525252525254,0.0041270878064116,69.88542938232422,15907.699644905468,552.6569005627949,0.12645355429590546
1541.4141414141416,0.0040838155882579,69.78788757324219,15391.042533103631,535.4548271261557,0.13033384711050486
1557.5757575757575,0.0040414413668492,69.69747924804688,14897.573491882851,518.9593223153654,0.13430239375426914
1573.737373737374,0.0039999374760472,69.60467529296875,14424.06391911675,503.1344779366286,0.13834209012751394
1589.89898989899,0.0039592773746388,69.51937103271484,13971.506483379686,487.94655357392713,0.14247333139977225
1606.0606060606062,0.0039194355897368,69.43311309814453,13537.137843157792,473.3638254322236,0.14668022642994713
1622.2222222222224,0.0038803876635626,69.35103607177734,13121.029660689392,459.3564471073765,0.15097433922717154
1638.3838383838386,0.0038421101033795,69.27361297607422,12722.336425765903,445.896321234444,0.15535811729572768
1654.5454545454547,0.0038045803343599,69.1963882446289,12339.379490554224,432.9569810674352,0.15982277979218268
