K_rot,q_cr,P_cr_N,N_p,q_cr_over_Np
0.1,82.1915283203125,61605.82636424906,1819.8248197959385,0.04516452761070092
10.2,81.72938537597656,61259.43180794797,1819.8248197959385,0.04491057847268018
20.3,83.78778076171875,62802.28119053653,1819.8248197959385,0.04604167381952406
30.4,83.1022720336914,62288.46507672189,1819.8248197959385,0.045664984414823986
40.5,82.86308288574219,62109.18327702903,1819.8248197959385,0.045533549155041105
50.6,82.25458526611328,61653.090058372414,1819.8248197959385,0.04519917761938025
60.7,80.2164535522461,60125.42910549851,1819.8248197959385,0.04407921722995346
70.8,78.01439666748047,58474.89970350971,1819.8248197959385,0.042869179395096074
80.89999999999999,76.82298278808594,57581.88751500419,1819.8248197959385,0.04221449336903774
91.0,76.22724914550781,57135.36140587794,1819.8248197959385,0.04188713568268366
101.1,75.90685272216797,56895.211516620766,1819.8248197959385,0.041711076745661484
111.2,75.55658721923828,56632.67356172621,1819.8248197959385,0.04151860464663331
121.29999999999998,74.6659164428711,55965.08031558593,1819.8248197959385,0.041029177990463704
131.39999999999998,72.54292297363281,54373.812094746616,1819.8248197959385,0.03986258577447429
141.5,70.40332794189453,52770.100341129015,1819.8248197959385,0.03868687094276966
151.6,68.40620422363281,51273.17651540733,1819.8248197959385,0.03758944458802544
161.7,66.46764373779297,49820.14816652665,1819.8248197959385,0.03652419893099719
171.79999999999998,68.7038803100586,51496.29660658835,1819.8248197959385,0.03775301862173884
181.9,68.97089385986328,51696.43390446245,1819.8248197959385,0.0378997434860775
192.0,68.6852798461914,51482.35481756564,1819.8248197959385,0.037742797602844685
202.1,68.7560043334961,51535.36563964955,1819.8248197959385,0.03778166095196233
212.2,68.89478302001953,51639.385796467934,1819.8248197959385,0.03785792031770666
222.3,69.11515045166016,51804.55996961484,1819.8248197959385,0.037979012979617574
232.4,69.41303253173828,52027.83446124853,1819.8248197959385,0.0381427002075517
242.5,69.85130310058594,52356.33572064557,1819.8248197959385,0.038383531393103285
252.6,70.47657775878906,52825.00399839199,1819.8248197959385,0.0387271219691859
262.7,71.19937896728516,53366.77231267547,1819.8248197959385,0.03912430372021683
272.8,72.04940032958984,54003.89720282189,1819.8248197959385,0.039591393383495516
282.90000000000003,72.60774230957031,54422.39677052061,1819.8248197959385,0.03989820422259764
293.0,72.88935852050781,54633.479344928535,1819.8248197959385,0.04005295329947257
303.1,73.29901123046875,54940.53037847479,1819.8248197959385,0.04027805887309964
313.2,74.08223724365234,55527.589492208615,1819.8248197959385,0.04070844426221166
323.3,74.8306655883789,56088.56636651151,1819.8248197959385,0.04111970821277724
333.40000000000003,75.38172912597656,56501.61045154916,1819.8248197959385,0.041422519522746865
343.5,75.35881042480469,56484.43197155563,1819.8248197959385,0.041409925617595905
353.6,75.02533721923828,56234.48051282145,1819.8248197959385,0.04122668094374658
363.7,74.72502899169922,56009.3875269674,1819.8248197959385,0.041061660539434955
373.8,74.47187805175781,55819.64080770458,1819.8248197959385,0.040922553226913634
383.9,74.07624053955078,55523.09472347528,1819.8248197959385,0.040705149052674826
394.0,73.6705551147461,55219.01732827678,1819.8248197959385,0.040482223515891466
404.1,73.30085754394531,54941.91426401354,1819.8248197959385,0.04027907342870767
414.2,72.97901916503906,54700.68357158767,1819.8248197959385,0.04010222213214038
424.3,72.71387481689453,54501.94731485819,1819.8248197959385,0.03995652440054539
434.4,72.47853088378906,54325.547656948525,1819.8248197959385,0.039827202099549486
444.5,72.26431274414062,54164.98262324064,1819.8248197959385,0.03970948849474632
454.6,72.06871795654297,54018.37653416132,1819.8248197959385,0.03960200848597296
464.7,71.89137268066406,53885.44918148164,1819.8248197959385,0.03950455664668065
474.8,71.74126434326172,53772.93699976632,1819.8248197959385,0.03942207159879611
484.9,71.62168884277344,53683.31039625811,1819.8248197959385,0.039356364449851036
495.0,71.53330993652344,53617.06688352671,1819.8248197959385,0.03930779993677888
505.1,71.48603820800781,53581.63483890621,1819.8248197959385,0.03928182395931039
515.2,71.47135925292969,53570.632377019545,1819.8248197959385,0.03927375782298867
525.3,71.49003601074219,53584.631351395095,1819.8248197959385,0.03928402076566828
535.4,71.7773666381836,53799.99710873085,1819.8248197959385,0.03944190993407386
545.5,73.38899230957031,55007.97478361585,1819.8248197959385,0.04032750378566636
555.6,76.07064819335938,57017.98275063582,1819.8248197959385,0.04180108292065682
565.7,75.7822265625,56801.79924275445,1819.8248197959385,0.04164259424211922
575.8,75.416259765625,56527.49254224515,1819.8248197959385,0.04144149422804422
585.9,76.03180694580078,56988.869687504295,1819.8248197959385,0.0417797395214812
596.0,74.62895965576172,55937.37973066959,1819.8248197959385,0.04100887010878885
606.1,73.32855987548828,54962.67826563023,1819.8248197959385,0.04029429595520672
616.2,72.19409942626953,54112.35494302076,1819.8248197959385,0.03967090603499123
626.3,71.31328582763672,53452.150044467584,1819.8248197959385,0.03918689593190253
636.4,70.7254638671875,53011.55405643097,1819.8248197959385,0.03886388574210023
646.5,70.27039337158203,52670.46058233829,1819.8248197959385,0.03861382293899125
656.6,69.9677734375,52443.63488029314,1819.8248197959385,0.03844753224398031
666.7,69.71521759033203,52254.33420678248,1819.8248197959385,0.03830875193698555
676.8,69.55473327636719,52134.04481708074,1819.8248197959385,0.038220565254279
686.9,69.40518188476562,52021.95008844116,1819.8248197959385,0.038138386250028286
697.0,69.28856658935547,51934.54227662319,1819.8248197959385,0.0380743057439589
707.1,69.16815185546875,51844.28663423371,1819.8248197959385,0.038008137433373806
717.2,69.04830169677734,51754.45416345527,1819.8248197959385,0.03794227935880109
727.3,68.92111206054688,51659.12046173347,1819.8248197959385,0.037872388216067504
737.4,68.78581237792969,51557.70795700466,1819.8248197959385,0.03779804057493996
747.5,68.63762664794922,51446.63684618095,1819.8248197959385,0.03771661200644891
757.6,68.48724365234375,51333.918797195394,1819.8248197959385,0.03763397603293673
767.7,68.32557678222656,51212.74303452462,1819.8248197959385,0.03754513953155561
777.8,68.16773223876953,51094.43225803118,1819.8248197959385,0.03745840341182584
787.9,68.00338745117188,50971.24928947567,1819.8248197959385,0.03736809538557522
798.0,67.83560943603516,50845.4929800423,1819.8248197959385,0.03727590078897909
808.1,67.6510009765625,50707.12158177212,1819.8248197959385,0.03717445780531138
818.2,67.44966888427734,50556.21515415913,1819.8248197959385,0.03706382512787173
828.3,67.23340606689453,50394.11755299509,1819.8248197959385,0.03694498796561835
838.4,67.0087661743164,50225.741000089074,1819.8248197959385,0.03682154757172191
848.5,66.78878021240234,50060.85275370638,1819.8248197959385,0.03670066452873828
858.6,66.58443450927734,49907.68750465616,1819.8248197959385,0.036588375861773124
868.7,66.39811706542969,49768.03515448234,1819.8248197959385,0.0364859937853112
878.8,66.23497772216797,49645.75571450172,1819.8248197959385,0.036396348154870785
888.9,66.08191680908203,49531.03045963144,1819.8248197959385,0.0363122406564891
899.0,65.94368743896484,49427.42203735352,1819.8248197959385,0.03623628314200005
909.1,65.81278991699219,49329.30912748364,1819.8248197959385,0.03616435450329331
919.2,65.67960357666016,49229.48065702853,1819.8248197959385,0.036091168151022895
929.3,65.5532455444336,49134.77027565272,1819.8248197959385,0.036021733977550784
939.4,65.4269027709961,49040.07133134747,1819.8248197959385,0.03595230818883577
949.5,65.29318237304688,48939.84256342247,1819.8248197959385,0.03587882837006716
959.6,65.1563491821289,48837.28063310154,1819.8248197959385,0.03580363806085195
969.7,65.01758575439453,48733.271913353725,1819.8248197959385,0.035727387079864704
979.8,64.86836242675781,48621.423081731366,1819.8248197959385,0.03564538834789145
989.9,64.71260070800781,48504.6734653705,1819.8248197959385,0.03555979674750463
1000.0,64.55860137939453,48389.24483066027,1819.8248197959385,0.03547517358656183
