parameter,label,range,q_cr_min,q_cr_max,sensitivity_pct,trend
L,Span L (m),"[0.5, 3]",47.330013275146484,155.9976806640625,69.65979681597499,↓
f_L,Rise-to-span ratio f/L,"[0.3333, 0.07692]",68.55457305908203,205.7560272216797,66.68162095398121,↓
h,Section height h (mm),"[0.0035, 0.042]",53.08258819580078,104.29948425292969,49.10560816622562,↓
K_trans,"Translational spring coefficient KX, KY","[0.1, 10]",61.84363555908203,107.67263793945312,42.56327629468519,↓
K_rot,Rotational spring coefficient KZ,"[0.1, 1000]",64.55860137939453,83.78778076171875,22.94986119369832,↓
b_h,Width-to-height ratio b/h,"[3, 20]",71.71510314941406,77.82720184326172,7.853422131349963,↑
E,Young's modulus E (GPa),"[60, 210]",71.79837799072266,72.2095947265625,0.5694765874137799,↑
