K_trans,q_cr,P_cr_N,N_p,q_cr_over_Np
0.1,68.84640502929688,51603.12456423124,1819.8248197959385,0.03783133644534906
0.2,72.37963104248047,54251.41828406032,1819.8248197959385,0.03977285629646296
0.3,76.104248046875,57043.16718002714,1819.8248197959385,0.04181954615577161
0.4,79.83065032958984,59836.25421325047,1819.8248197959385,0.043867217031659925
0.5,83.39366149902344,62506.87309482879,1819.8248197959385,0.04582510392861582
0.6,86.48351287841797,64822.83985515573,1819.8248197959385,0.047522987892931134
0.7000000000000001,88.84056854248047,66589.54701997698,1819.8248197959385,0.04881819809032079
0.8,90.56170654296876,67879.60855033043,1819.8248197959385,0.049763969343556744
0.9,92.3004379272461,69182.8570230491,1819.8248197959385,0.05071940822171882
1.0,93.91856384277344,70395.70688999619,1819.8248197959385,0.051608573979832165
1.1,94.84709167480467,71091.67550821634,1819.8248197959385,0.052118803218345
1.2000000000000002,94.82463073730467,71074.84014033985,1819.8248197959385,0.052106460855906776
1.3000000000000005,94.57730102539062,70889.45666349882,1819.8248197959385,0.05197055232821575
1.4,94.77940368652344,71040.94066317551,1819.8248197959385,0.05208160843588851
1.5000000000000002,95.50141143798828,71582.11424978945,1819.8248197959385,0.05247835417955069
1.6,96.46409606933594,72303.68475047666,1819.8248197959385,0.05300735269681216
1.7000000000000002,97.5070571899414,73085.42567942353,1819.8248197959385,0.05358046342113035
1.8000000000000005,98.51557159423828,73841.34742156252,1819.8248197959385,0.054134645556315183
1.9,99.4503936767578,74542.03383139208,1819.8248197959385,0.05464833350712813
2.0,100.3100357055664,75186.36979453178,1819.8248197959385,0.05512070975975282
2.1,100.74690246582033,75513.81884343653,1819.8248197959385,0.055360769547652025
2.2,100.64451599121094,75437.07609992346,1819.8248197959385,0.05530450782757016
2.3000000000000003,101.63347625732422,76178.34123612923,1819.8248197959385,0.05584794489654264
2.4000000000000004,104.28702545166016,78167.28211916245,1819.8248197959385,0.057306079308971136
2.5000000000000004,105.39569091796876,78998.27107397627,1819.8248197959385,0.05791529479732398
2.6,105.47457122802734,79057.39501027892,1819.8248197959385,0.057958639799106856
2.7,105.52103424072266,79092.22089015928,1819.8248197959385,0.057984171384449515
2.8000000000000003,106.15528869628906,79567.61988393514,1819.8248197959385,0.05833269639008029
2.9000000000000004,106.945556640625,80159.95720573621,1819.8248197959385,0.058766951344589896
3.0000000000000004,107.67263793945312,80704.9336183141,1819.8248197959385,0.05916648501998491
3.1,107.41632080078124,80512.81370690838,1819.8248197959385,0.05902563787036716
3.2,105.47876739501952,79060.5402046852,1819.8248197959385,0.05796094560730692
3.3000000000000003,102.69125366210938,76971.18756059787,1819.8248197959385,0.056429197219996376
3.4000000000000004,100.04939270019533,74991.00747361993,1819.8248197959385,0.05497748553149974
3.5000000000000004,97.92390441894533,73397.8692917427,1819.8248197959385,0.053809522407725914
3.6,95.44805145263672,71542.11881401222,1819.8248197959385,0.05244903268400282
3.7,91.82669067382812,68827.76457458085,1819.8248197959385,0.05045908247593023
3.8,87.71598815917969,65746.62920056046,1819.8248197959385,0.04820023730032185
3.9,84.8216323852539,63577.194188354144,1819.8248197959385,0.04660977884385881
4.0,83.62871551513672,62683.055448397645,1819.8248197959385,0.045954266919226994
4.1,80.6220932006836,60429.47218948531,1819.8248197959385,0.04430211761246555
4.2,79.42133331298828,59529.45479525672,1819.8248197959385,0.04364229592268886
4.3,79.10184478759766,59289.98541169836,1819.8248197959385,0.043466735878713615
4.4,78.97364807128906,59193.89686331906,1819.8248197959385,0.04339629134201201
4.5,77.6890640258789,58231.0499219237,1819.8248197959385,0.0426904079891549
4.6,76.31449127197266,57200.752856852,1819.8248197959385,0.04193507553135251
4.7,75.16505432128906,56339.20404947978,1819.8248197959385,0.041303455972052025
4.8,74.15997314453125,55585.85564821865,1819.8248197959385,0.04075116040721271
4.9,73.11695861816406,54804.0746895248,1819.8248197959385,0.0401780203362447
5.0,72.34219360351562,54223.35743142107,1819.8248197959385,0.03975228429493974
5.1,71.83549499511719,53843.56662906065,1819.8248197959385,0.03947385166621273
5.2,71.14773559570312,53328.06354733719,1819.8248197959385,0.03909592550984171
5.3,69.92399597167969,52410.82192483279,1819.8248197959385,0.038423476375885696
5.4,68.5054931640625,51347.59753359504,1819.8248197959385,0.037644004202417786
5.5,67.73958587646484,50773.51949495619,1819.8248197959385,0.037223135512604255
5.6,67.26582336425781,50418.415609417374,1819.8248197959385,0.036962801382058576
5.7,66.9421615600586,50175.8181870586,1819.8248197959385,0.036784948107018885
5.8,68.00318145751953,50971.09488902299,1819.8248197959385,0.037367982191354496
5.9,68.91529846191406,51654.76293784697,1819.8248197959385,0.037869193623615766
6.0,68.59319305419922,51413.33209668615,1819.8248197959385,0.037692195593799376
6.1,68.57202911376953,51397.468879807966,1819.8248197959385,0.0376805659357139
6.2,69.13446807861328,51819.03930095426,1819.8248197959385,0.03798962808209501
6.3,69.68729400634766,52233.40436764256,1819.8248197959385,0.038293407831508676
6.4,70.1275634765625,52563.40388328403,1819.8248197959385,0.03853533742023921
6.5,70.4881591796875,52833.6847349533,1819.8248197959385,0.03873348599981811
6.6,70.87289428710938,53122.05903226157,1819.8248197959385,0.03894489926511527
6.7,71.24641418457031,53402.02708270216,1819.8248197959385,0.03915014973395041
6.8,71.5064926147461,53596.966232002975,1819.8248197959385,0.039293063726191124
6.9,71.67554473876953,53723.6775368288,1819.8248197959385,0.03938595845000437
7.0,71.8865966796875,53881.86937839378,1819.8248197959385,0.03950193221771111
7.1,72.30839538574219,54198.02432011237,1819.8248197959385,0.03973371205798276
7.2,72.88555908203125,54630.63151435703,1819.8248197959385,0.040050865494956865
7.3,73.3971176147461,55014.06502369345,1819.8248197959385,0.040331968668817414
7.4,73.77828979492188,55299.76876502403,1819.8248197959385,0.040541424093333785
7.5,73.99469757080078,55461.97501835847,1819.8248197959385,0.040660340910779524
